step,time,maxabs,minU,maxU,hp_global
2160,0.54,1.3333330690379617,-9.304327796768266e-06,1.3333330690379617,0.03501331367731933
2200,0.55,1.3333277417292784,-1.5177088492948436e-05,1.3333277417292784,0.03688548520656932
2240,0.56,1.333333049350436,-1.549095365798325e-05,1.333333049350436,0.03773123855714367
2280,0.5700000000000001,1.3333277590462695,-6.413164957849611e-06,1.3333277590462695,0.041161897832995314
2320,0.58,1.33333306929228,-1.2441153386350023e-05,1.33333306929228,0.04736945603750769
2360,0.59,1.3333277422810872,-2.050386967147914e-05,1.3333277422810872,0.049977559407457
2400,0.6,1.333333048052202,-2.3257714265576482e-05,1.333333048052202,0.05404158112042544
2440,0.61,1.3333277589620458,-1.2108039018646695e-05,1.3333277589620458,0.06053775167658239
2480,0.62,1.3333330737122884,-1.727318205637001e-05,1.3333330737122884,0.06696411951395646
2520,0.63,1.333327739128567,-2.9266531432128298e-05,1.333327739128567,0.07120769691042036
2560,0.64,1.3333330453644816,-3.506628474341654e-05,1.3333330453644816,0.0782546834718303
2600,0.65,1.3333277608638894,-2.5663831342008758e-05,1.3333277608638894,0.0864658170243923
2640,0.66,1.333333078747684,-2.229801185258056e-05,1.333333078747684,0.08994155369271752
2680,0.67,1.3333277354248867,-3.903697313857508e-05,1.3333277354248867,0.09525190335507011
2720,0.68,1.3333330401088233,-4.9114005613064705e-05,1.3333330401088233,0.10704191757251835
