time,X_cells_unwrapped,A_over_h2,relL2
0.56,457.83355204715434,0.10000205801093917,8.17975086194569e-05
0.5700000000000001,458.8662990390653,0.10000205801094526,8.179750845484751e-05
0.58,459.89904603097625,0.10000205801095154,8.179750828307816e-05
0.59,460.9317930228872,0.10000205801095789,8.179750810719593e-05
0.6,461.96454001479805,0.10000205801096422,8.179750793001531e-05
0.61,462.9972870067089,0.1000020580109705,8.179750775392978e-05
0.62,464.0300339986198,0.10000205801097654,8.17975075818933e-05
0.63,465.0627809905306,0.10000205801098236,8.179750741579169e-05
0.64,466.0955279824414,0.10000205801098787,8.179750725774636e-05
0.65,467.12827497435217,0.10000205801099303,8.179750710964048e-05
0.66,468.1610219662629,0.10000205801099778,8.179750697311041e-05
0.67,469.1937689581736,0.10000205801100204,8.179750684955816e-05
0.68,470.22651595008426,0.1000020580110058,8.179750674049751e-05
0.6900000000000001,471.25926294199496,0.10000205801100903,8.179750664744629e-05
0.7000000000000001,472.2920099339056,0.1000020580110116,8.179750657096827e-05
0.71,473.3247569258163,0.10000205801101358,8.179750651233564e-05
0.72,474.357503917727,0.10000205801101503,8.179750647165664e-05
0.73,475.3902509096377,0.1000020580110157,8.179750644974074e-05
0.74,476.4229979015484,0.10000205801101579,8.179750644667579e-05
0.75,477.45574489345915,0.10000205801101525,8.179750646232523e-05
0.76,478.48849188536997,0.10000205801101406,8.179750649671515e-05
0.77,479.5212388772807,0.10000205801101228,8.179750654952183e-05
0.78,480.55398586919154,0.10000205801100981,8.179750662038237e-05
0.79,481.5867328611024,0.10000205801100677,8.179750670820429e-05
0.8,482.6194798530133,0.1000020580110032,8.179750681234245e-05
0.81,483.65222684492414,0.10000205801099907,8.179750693130954e-05
0.8200000000000001,484.684973836835,0.10000205801099447,8.179750706418696e-05
0.8300000000000001,485.71772082874594,0.10000205801098938,8.179750720959495e-05
0.84,486.75046782065687,0.10000205801098395,8.179750736565629e-05
0.85,487.7832148125678,0.10000205801097821,8.179750753038678e-05
0.86,488.8159618044788,0.10000205801097214,8.179750770161083e-05
0.87,489.8487087963897,0.10000205801096593,8.179750787723413e-05
0.88,490.8814557883007,0.1000020580109596,8.179750805516512e-05
0.89,491.91420278021167,0.10000205801095322,8.179750823262458e-05
0.9,492.94694977212265,0.10000205801094689,8.179750840641383e-05
0.91,493.97969676403363,0.10000205801094073,8.179750857427371e-05
0.92,495.0124437559446,0.10000205801093487,8.179750873225193e-05
0.93,496.0451907478556,0.10000205801092929,8.179750887783698e-05
0.9400000000000001,497.07793773976664,0.10000205801092417,8.17975090069767e-05
0.9500000000000001,498.1106847316776,0.10000205801091964,8.179750911571781e-05
0.96,499.1434317235886,0.10000205801091588,8.179750920085779e-05
0.97,500.17617871549965,0.10000205801091303,8.179750926047682e-05
0.98,501.20892570741063,0.10000205801091135,8.179750929247003e-05
0.99,502.24167269932167,0.10000205801091121,8.179750929527116e-05
1.0,503.27441969123265,0.10000205801091251,8.179750926866874e-05
