label,time,step,c0,kind,h,kappa,dt,compacton_speed,max_ahead_HP_over_h2,best_fit_relL2,best_fit_corr,best_fit_A_over_h2,best_fit_center_ahead
baseline,2.22,2220,0.0,abs,0.02,20.0,0.001,1.0,0.11878633971332532,0.8537287950945803,0.5207179125268846,0.04863891432534382,3.4094511235062583
baseline,2.24,2240,0.0,abs,0.02,20.0,0.001,1.0,0.10852806298811497,0.7814637527876087,0.623950641540745,0.06023013605804574,3.421528384828356
baseline,2.2600000000000002,2260,0.0,abs,0.02,20.0,0.001,1.0,0.10796110714172343,0.7648334167624775,0.6442280998244598,0.0576381517554661,3.431697103859298
baseline,2.2800000000000002,2280,0.0,abs,0.02,20.0,0.001,1.0,0.11709328884393964,0.8623826642956538,0.5062569903935444,0.06872136475678725,2.2553928099272174
baseline,2.3000000000000003,2300,0.0,abs,0.02,20.0,0.001,1.0,0.11408767368863382,0.8641782295842458,0.5031858379491999,0.07100502072057979,2.268912498872112
baseline,2.32,2320,0.0,abs,0.02,20.0,0.001,1.0,0.11203774645125607,0.8960226345219872,0.4440083765249001,0.06666176173229113,2.2808241136068297
baseline,2.34,2340,0.0,abs,0.02,20.0,0.001,1.0,0.09928955261933727,0.821257473685415,0.5705577638730808,0.054622849970595154,3.417348861983939
baseline,2.36,2360,0.0,abs,0.02,20.0,0.001,1.0,0.11095593687975787,0.7599577569588637,0.6499724668307517,0.0686043938388,3.4241186905150975
baseline,2.38,2380,0.0,abs,0.02,20.0,0.001,1.0,0.11142478799455427,0.8148272658427165,0.5797038268282202,0.062068894623869934,3.43351000845184
baseline,2.4,2400,0.0,abs,0.02,20.0,0.001,1.0,0.1104679852812047,0.8452296005248144,0.5344033330703155,0.0531245382233462,3.4476534183967207
baseline,2.42,2420,0.0,abs,0.02,20.0,0.001,1.0,0.10298943325412714,0.8597217774590675,0.5107626311337018,0.04725933538264503,3.328312844168046
baseline,2.44,2440,0.0,abs,0.02,20.0,0.001,1.0,0.10689403977909655,0.753894500838741,0.6569954958788571,0.06355395464857587,3.37500028143368
baseline,2.46,2460,0.0,abs,0.02,20.0,0.001,1.0,0.11541455767938831,0.7117742041371448,0.702408344430029,0.0828856945461974,3.4080257307859636
baseline,2.48,2480,0.0,abs,0.02,20.0,0.001,1.0,0.11770162158695041,0.7505534745400098,0.6608097168292238,0.07752454757351124,3.4209809572680694
baseline,2.5,2500,0.0,abs,0.02,20.0,0.001,1.0,0.11394613517562534,0.7633356397732141,0.6460020905941546,0.07962654028306694,3.433610875943115
baseline,2.52,2520,0.0,abs,0.02,20.0,0.001,1.0,0.10276590563827513,0.8854493287400336,0.4647359317223321,0.05056675615735397,3.4388600734660404
baseline,2.54,2540,0.0,abs,0.02,20.0,0.001,1.0,0.11687488967907378,0.9132124454075499,0.4074837782694702,0.06331039654395362,2.067226340334484
baseline,2.56,2560,0.0,abs,0.02,20.0,0.001,1.0,0.11825114866506552,0.9133929493029496,0.4070790097311079,0.0626720866011837,2.078315246121335
baseline,2.58,2580,0.0,abs,0.02,20.0,0.001,1.0,0.10805849314400658,0.8523178908916801,0.5230241035229237,0.052475886845418276,3.375575742161459
baseline,2.6,2600,0.0,abs,0.02,20.0,0.001,1.0,0.10285576675694007,0.7827212248342155,0.6223724641997148,0.07136923601916542,3.405258755723507
baseline,2.62,2620,0.0,abs,0.02,20.0,0.001,1.0,0.1103744807767701,0.7823601731139316,0.6228262675298296,0.07676202632571426,3.4229383714201056
