epsilon,rho,real,imag,residual,edge_fraction,case,branch
0.425,0.9967038617491296,-0.9967038617491296,0.0,0.0002462212497162,0.9994499842344252,"h=0.01, kappa=5",real
0.43,0.9964151804279334,-0.9964151804279334,0.0,0.0003199098109061,0.9994503195962408,"h=0.01, kappa=5",real
0.435,0.9961213769045302,-0.9961213769045302,0.0,0.0005011020915714,0.9994473775627476,"h=0.01, kappa=5",real
0.44,0.9958566127918356,-0.9958566127918356,0.0,0.0006353980767106,0.9994385212052422,"h=0.01, kappa=5",real
0.445,0.9955806652456786,-0.9955806652456786,0.0,0.0009051924329948,0.9994000516021236,"h=0.01, kappa=5",real
0.45,0.9953347952897345,-0.9953347952897345,0.0,0.0015120831934265,0.999268785369673,"h=0.01, kappa=5",real
0.455,0.9950675459366592,-0.9950675459366592,0.0,0.002484612399087,0.999000607542608,"h=0.01, kappa=5",real
0.46,0.9947803386925482,-0.9947803386925482,0.0,0.0039203732217714,0.9977019960111432,"h=0.01, kappa=5",real
0.5,0.9925958866735056,-0.9925958866735056,0.0,0.0057331465487503,0.99552333118133,"h=0.01, kappa=5",real
0.0,1.130946834,-1.130946834,0.0,1e-10,0.9996,"h=0.02, kappa=20",real
0.05,1.0815889,-1.0815889,0.0,3e-05,0.9996,"h=0.02, kappa=20",real
0.1,1.0428712,-1.0428712,0.0,6e-05,0.9996,"h=0.02, kappa=20",real
0.15,1.0133998,-0.9189,0.4268,0.0003,0.9996,"h=0.02, kappa=20",complex
0.17,1.006818184589972,-0.9118735723360752,0.4268131264336788,0.0002201649913817,0.9995805074229756,"h=0.02, kappa=20",complex
0.175,1.005248024874693,-0.9100558353286636,0.4269917658441663,0.0003081783055065,0.9995759352004738,"h=0.02, kappa=20",complex
0.18,1.0036443366423111,-0.9083425580373452,0.4268673701893329,0.0002998760655116,0.9995727741161606,"h=0.02, kappa=20",complex
0.1825,1.002826339246795,-0.9075179095413456,0.4266988522937856,0.0001675214582829,0.9995716920215192,"h=0.02, kappa=20",complex
0.185,1.001984728833739,-0.9066192567746088,0.4266320663774318,0.0001560087062785,0.9995701843507588,"h=0.02, kappa=20",complex
0.1875,1.0011485134087623,-0.9057283105964552,0.4265613358998515,0.0001622691735176,0.9995686578796684,"h=0.02, kappa=20",complex
0.18875,1.000739597615732,-0.905307720563443,0.4264946345785846,9.7690335893293e-05,0.9995680651792288,"h=0.02, kappa=20",complex
0.19,1.0003259338893788,-0.9048637725153938,0.4264663259870201,9.079374242335991e-05,0.9995673236336924,"h=0.02, kappa=20",complex
