n_fit,A,A_over_h2,profile_relL2,correlation,center_index,method,label,packet,t,window_half_cells
1199.1593965902566,5.885047915962699e-05,0.14712619789906747,0.0003478176198694462,0.9999999395114502,3358.409396590256,pade8,Pade-8,I,21.9,20
1208.4121474411954,5.8850479280350176e-05,0.14712619820087544,0.0003478050258736883,0.9999999395158297,3370.1621474411954,pade8,Pade-8,I,21.95,20
1217.6648981892222,5.885047919652434e-05,0.14712619799131085,0.0003478023943222735,0.999999939516745,3381.914898189222,pade8,Pade-8,I,22.0,20
1226.917648977941,5.885047895806145e-05,0.14712619739515362,0.0003478181345050622,0.9999999395112709,3393.667648977941,pade8,Pade-8,I,22.05,20
1236.17039976766,5.8850479481968094e-05,0.14712619870492022,0.00034780848685276835,0.9999999395146261,3405.42039976766,pade8,Pade-8,I,22.1,20
1245.4231505002504,5.885047836032987e-05,0.14712619590082468,0.00034781107358458976,0.9999999395137263,3417.17315050025,pade8,Pade-8,I,22.15,20
1254.6759013230694,5.885047851137804e-05,0.1471261962784451,0.0003478072106815502,0.9999999395150699,3428.9259013230694,pade8,Pade-8,I,22.2,20
1263.9286521032236,5.885047805591165e-05,0.14712619513977912,0.0003478070361691763,0.9999999395151309,3440.6786521032236,pade8,Pade-8,I,22.25,20
1273.1814028778522,5.885047781717656e-05,0.1471261945429414,0.00034782314495658686,0.9999999395095279,3452.431402877852,pade8,Pade-8,I,22.3,20
1282.4341536882744,5.8850478230587584e-05,0.14712619557646894,0.0003478204497841452,0.9999999395104657,3464.1841536882744,pade8,Pade-8,I,22.35,20
1291.686904450773,5.885047851023695e-05,0.14712619627559237,0.00034782418825212477,0.9999999395091649,3475.9369044507725,pade8,Pade-8,I,22.4,20
1300.9396552407784,5.8850477987539124e-05,0.1471261949688478,0.00034781253103464597,0.9999999395132195,3487.6896552407784,pade8,Pade-8,I,22.45,20
1310.19240603578,5.885047730894121e-05,0.14712619327235302,0.00034782170687561956,0.9999999395100285,3499.44240603578,pade8,Pade-8,I,22.5,20
1319.4451567450465,5.8850478279706984e-05,0.14712619569926746,0.0003478132606141776,0.999999939512966,3511.1951567450465,pade8,Pade-8,I,22.55,20
