case,t,h,nrel_pred_cells,xpred,xfit,A,A_over_h2,relL2_data,relL2_fit,correlation,vrel_track,vtotal_track
CFL20,21.0,0.02,108.94836123555756,154.46215253189075,154.52523404873605,-4.1318270505832564e-05,0.1032956762645814,9.617453522508587e-05,9.617453566987101e-05,0.9999999953752297,1.1013581702428668,2.1013581702428668
CFL20,22.0,0.02,164.01626974770096,156.5635107021336,156.64350666203563,-4.027874985619533e-05,0.10069687464048832,0.22289902200968295,0.2286515429559919,0.9748415389113898,1.1013581702428668,2.1013581702428668
CFL20,23.0,0.02,219.08417825984418,158.66486887237647,158.7448648322785,-3.233415808779985e-05,0.08083539521949962,0.9368934148707363,2.6797852055649156,0.34961511576568066,1.1013581702428668,2.1013581702428668
CFL20,24.0,0.02,274.15208677198757,160.76622704261933,160.6862310827173,-7.794107739421071e-05,0.19485269348552678,0.5964347392422423,0.7430712504711784,0.8026615736566924,1.1013581702428668,2.1013581702428668
CFL20,25.0,0.02,329.219995284131,162.86758521286222,162.7875892529602,-3.7965951358899706e-05,0.09491487839724926,0.3789144722525775,0.40944617972945335,0.9254316953279427,1.1013581702428668,2.1013581702428668
CFL20,26.0,0.02,384.28790379627424,164.96894338310508,164.88894742320304,-4.061484343315586e-05,0.10153710858288964,0.14107577477595337,0.14250095520173497,0.9899988008939025,1.1013581702428668,2.1013581702428668
CFL20,27.0,0.02,439.3558123084176,167.07030155334795,166.99774797679007,-4.102514672341928e-05,0.10256286680854819,9.425526685461514e-05,9.425526727329967e-05,0.9999999955579725,1.1013581702428668,2.1013581702428668
CFL20,28.0,0.02,494.423720820561,169.1716597235908,169.1160881022119,-4.102514672855188e-05,0.1025628668213797,9.430508140976836e-05,9.43050818291171e-05,0.9999999955532753,1.1013581702428668,2.1013581702428668
CFL20,29.0,0.02,549.4916293327043,171.27301789383367,171.23442775089643,-4.1025146729779525e-05,0.1025628668244488,9.426447735818463e-05,9.426447777699191e-05,0.9999999955571041,1.1013581702428668,2.1013581702428668
CFL20,30.0,0.02,604.5595378448475,173.37437606407656,173.35276735780522,-4.102514672935678e-05,0.10256286682339195,9.447281512958598e-05,9.44728155511762e-05,0.9999999955374439,1.1013581702428668,2.1013581702428668
CFL20,31.0,0.02,659.6274463569908,175.47573423431942,175.47110762392344,-4.102514673011762e-05,0.10256286682529404,9.426964611086497e-05,9.42696465297411e-05,0.9999999955566171,1.1013581702428668,2.1013581702428668
CFL20,32.0,0.02,714.6953548691342,177.57709240456228,177.5894487994062,-4.102514672448652e-05,0.10256286681121629,9.570237848956499e-05,9.570237892783144e-05,0.9999999954205272,1.1013581702428668,2.1013581702428668
CFL20,33.0,0.02,769.7632633812776,179.67845057480514,179.70778683103887,-4.1025146727300206e-05,0.10256286681825051,9.50023907835398e-05,9.500239121225962e-05,0.9999999954872734,1.1013581702428668,2.1013581702428668
CFL20,34.0,0.02,824.8311718934211,181.779808745048,181.82612771954282,-4.102514672974758e-05,0.10256286682436895,9.42780533520752e-05,9.427805377106347e-05,0.9999999955558241,1.1013581702428668,2.1013581702428668
CFL20,35.0,0.02,879.8990804055642,183.88116691529086,183.9444684540408,-4.102514672484368e-05,0.1025628668121092,9.525945556548428e-05,9.525945599769374e-05,0.9999999954628185,1.1013581702428668,2.1013581702428668
