A,v,vth,delta,resid
0.1025621703873877,2.1183400417357134,2.118338900780054,1.140955659284515e-06,8.606423113212973e-05
0.1025621703856176,2.1183400359755784,2.1183389007435167,1.1352320616886402e-06,8.609382200316195e-05
0.1025621702613427,2.1183402156805906,2.11833889817829,1.3175023005906894e-06,8.627282904228075e-05
0.1025621698045938,2.118340099522102,2.118338888750285,1.2107718170284443e-06,8.607838610917358e-05
0.1025621703838747,2.118340000553532,2.11833890070754,1.0998459920585901e-06,8.609382200316195e-05
0.1025621703856176,2.118340011674798,2.1183389007435167,1.1109312811896643e-06,8.606420822837829e-05
0.1025621703873289,2.118339908241852,2.1183389007788405,1.007463011681864e-06,8.608002429236154e-05
0.1025621703838747,2.1183399340369853,2.11833890070754,1.033329445121467e-06,8.608002233765382e-05
0.1025621703874336,2.118339815836489,2.1183389007810014,9.150554873826877e-07,8.604935429592303e-05
0.102562170379388,2.118340093523936,2.118338900614928,1.1929090080187166e-06,8.699843396548961e-05
0.1025621703857668,2.118340038696214,2.118338900746596,1.1379496180907722e-06,8.627749832106004e-05
0.1025621702613427,2.1183401690551404,2.11833889817829,1.2708768504232637e-06,8.627282904228075e-05
0.1025621703872863,2.1183400368185925,2.1183389007779607,1.1360406317884042e-06,8.609391311632535e-05
0.1025621703857669,2.1183400827223497,2.1183389007465983,1.181975751496367e-06,8.627749832123886e-05
0.1025621703873877,2.1183398969362153,2.118338900780054,9.96156161114925e-07,8.606423113212973e-05
0.102562170379388,2.1183400113868176,2.118338900614928,1.1107718895786434e-06,8.699843396548961e-05
0.1025621703873289,2.1183400010855706,2.1183389007788405,1.1003067301729175e-06,8.608002429230955e-05
0.1025621703857669,2.1183400522033393,2.1183389007465983,1.1514567410664256e-06,8.627749832123886e-05
0.1025621698045938,2.118340118916892,2.118338888750285,1.2301666068026407e-06,8.607838610917358e-05
0.1025621703857669,2.118340050351025,2.1183389007465983,1.1496044267644834e-06,8.627749832123886e-05
0.1025621703873289,2.1183400228748472,2.1183389007788405,1.1220960067781505e-06,8.608002429236154e-05
0.1025621703873289,2.1183399403265035,2.1183389007788405,1.0395476630620237e-06,8.608002429236154e-05
0.1025621703873289,2.1183399918854913,2.1183389007788405,1.091106650807916e-06,8.608002429230955e-05
0.1025621703873877,2.118339969117864,2.118338900780054,1.0683378097731122e-06,8.606423113212973e-05
0.1025621703857669,2.1183400135827624,2.1183389007465983,1.1128361641077333e-06,8.627749832123886e-05
0.1025621703857668,2.118339958740277,2.118338900746596,1.0579936811083712e-06,8.627749832106004e-05
0.1025621702613427,2.1183401160369115,2.11833889817829,1.2178586215050302e-06,8.627282904228075e-05
0.1025621703856176,2.118339806003078,2.1183389007435167,9.052595610903325e-07,8.608002233765382e-05
0.1025621703873289,2.1183400688760563,2.1183389007788405,1.168097215842323e-06,8.608002429230955e-05
0.1025621703872863,2.118340006128802,2.1183389007779607,1.1053508410796553e-06,8.609391311632535e-05
0.1025621698045938,2.118340082278429,2.118338888750285,1.1935281438724132e-06,8.604588354353229e-05
0.1025621702354512,2.1183399290268343,2.118338897643849,1.0313829852393042e-06,8.607838610917358e-05
0.1025621703872865,2.1183400688836223,2.118338900777965,1.168105657090024e-06,8.609391312046539e-05
0.1025621703778929,2.118340091833284,2.118338900584067,1.1912492170473854e-06,8.713642199769674e-05
0.1025621703856176,2.118340038114518,2.1183389007435167,1.1373710013806715e-06,8.606420822837829e-05
0.1025621703873289,2.118339990306927,2.1183389007788405,1.0895280864176016e-06,8.608002429236154e-05
0.1025621703792153,2.118339924877644,2.1183389006113633,1.0242662806803082e-06,8.609382200316195e-05
0.1025621703838747,2.1183401412174594,2.11833890070754,1.240509919231414e-06,8.627749265554245e-05
0.1025621703856176,2.1183399811166903,2.1183389007435167,1.080373173589777e-06,8.608002233765382e-05
0.1025621703873289,2.1183400169691184,2.1183389007788405,1.1161902779832644e-06,8.608002429236154e-05
0.1025621703838747,2.1183398807943745,2.11833890070754,9.80086834356797e-07,8.608002233765382e-05
0.1025621678811744,2.118340196983627,2.1183388490479276,1.3479356995027558e-06,8.627282904228075e-05
0.1025621678811744,2.1183401046859456,2.1183388490479276,1.2556380180051008e-06,8.607838610917358e-05
0.1025621703838747,2.1183400134731367,2.11833890070754,1.1127655965559313e-06,8.609382200316195e-05
0.1025621703872865,2.1183398244171263,2.118338900777965,9.236391611544548e-07,8.609391312046539e-05
0.1025621702613427,2.1183401184296793,2.11833889817829,1.2202513892667355e-06,8.762155233193334e-05
0.1025621703872865,2.118339983919868,2.118338900777965,1.0831419028356493e-06,8.609391312046539e-05
0.1025621703873877,2.1183399885626426,2.118338900780054,1.0877825884492154e-06,8.606423113212973e-05
0.1025621702613427,2.1183400695991073,2.11833889817829,1.1714208172364238e-06,8.607838610917358e-05
0.1025621703838747,2.118340054369455,2.11833890070754,1.1536619148877492e-06,8.627749265554245e-05
0.1025621703792153,2.118339918731881,2.1183389006113633,1.0181205176706953e-06,8.609382200316195e-05
0.1025621703873289,2.118340313769038,2.1183389007788405,1.412990197735553e-06,8.608002429236154e-05
0.1025621703872865,2.1183400360083735,2.118338900777965,1.135230408344512e-06,8.609391312046539e-05
0.1025621703838747,2.1183399169617068,2.11833890070754,1.0162541665970082e-06,8.609382200316195e-05
0.1025621702354512,2.118339967559712,2.118338897643849,1.069915863016746e-06,8.607838610917358e-05
0.1025621703857669,2.118340054835491,2.1183389007465983,1.1540888928962545e-06,8.627749832123886e-05
0.1025621703873289,2.11834002739095,2.1183389007788405,1.126612109381142e-06,8.608002429230955e-05
0.1025621703857668,2.118340040958945,2.118338900746596,1.1402123489823168e-06,8.627749832106004e-05
0.1025621703874336,2.118340032362126,2.1183389007810014,1.1315811248024943e-06,8.604935429592303e-05
0.1025621703857668,2.1183400994087815,2.118338900746596,1.198662185508681e-06,8.627749832106004e-05
0.1025621703857668,2.1183398774862363,2.118338900746596,9.767396402793338e-07,8.627749832106004e-05
0.1025621703872863,2.1183401578468217,2.1183389007779607,1.2570688610047398e-06,8.609391311632535e-05
0.1025621703856176,2.1183397787856086,2.1183389007435167,8.780420919229925e-07,8.627749265554245e-05
0.1025621702354512,2.11834005090574,2.118338897643849,1.1532618908738357e-06,8.627282904228075e-05
0.1025621703873877,2.1183399339703315,2.118338900780054,1.0331902773330626e-06,8.606423113212973e-05
0.1025621703856176,2.1183400076598575,2.1183389007435167,1.106916340809505e-06,8.606420822837829e-05
0.1025621703873289,2.118340037597214,2.1183389007788405,1.1368183736593096e-06,8.608002429230955e-05
0.1025621703856176,2.118339918991973,2.1183389007435167,1.0182484562193395e-06,8.606420822837829e-05
