method,h,kappa,cell,time,max_ahead_HP_over_h2,raw_peak_cell,candidate_peak_HP_over_h2,candidate_peak_cell,best_fit_center_rel_cells,best_fit_A_over_h2,best_fit_relL2,best_fit_corr
gl6,0.01,5,100,1.0,0.009837074046323488,689.0,0.006988544151482528,673.0,673.5576433739905,0.006646810160655926,0.9636326645681912,0.2672304020451416
gl6,0.01,5,105,1.05,0.057567316905526,5.0,0.007009675806609853,669.0,669.1944283728681,0.00672033295170153,0.9606878369220302,0.277630834004566
gl6,0.01,5,110,1.1,0.041928738618988326,5.0,0.031110337393648126,689.0,691.4095888670674,0.04098905578330299,0.8869252821148593,0.46191291814093866
gl6,0.01,5,115,1.1500000000000001,0.05002528387142047,690.0,0.043091934571678675,682.0,682.986619242897,0.031209366561454985,0.918234051296151,0.3960381636159044
gl6,0.01,5,120,1.2,0.06531738739392745,685.0,0.02308333114602011,681.0,684.9893228286085,0.04049812332841242,0.8862323233508136,0.4632410485354457
gl6,0.01,5,125,1.25,0.05803535944744786,684.0,0.0020344760867399584,644.0,648.4999463522511,0.003585013612393024,0.8892680827709325,0.457386354152493
gl6,0.01,5,130,1.3,0.061487850524685375,678.0,0.022519431673218262,674.0,678.0179526616923,0.04231625964236281,0.9217942608930704,0.38767943017988227
gl6,0.01,5,135,1.35,0.07303407602878963,678.0,0.07303407602878963,678.0,678.1477691971209,0.04565383086867749,0.9575045412146298,0.2884181921331621
gl6,0.01,5,140,1.4000000000000001,0.1124924031928637,687.0,0.1124924031928637,687.0,686.2409347070036,0.0660560650908775,0.9173265749228073,0.3981355986851603
gl6,0.01,5,145,1.45,0.1253550397369282,685.0,0.023831208050036176,682.0,684.9995397764383,0.06160922528857555,0.9359131491762807,0.3522308578176205
gl6,0.01,5,150,1.5,0.12366864050635253,683.0,0.06686087807768903,673.0,677.4999463522511,0.07792890824787824,0.8946105271401497,0.4468467351676898
gl6,0.01,5,155,1.55,0.13256578222482912,677.0,0.0792641885088817,682.0,683.2715463265911,0.08114142672566477,0.8882640415896529,0.4593332041327028
