case,sign,cell,time,rank,rho_F,max_ahead_HP_over_h2,fit_center_rel_cells,fit_A_over_h2,fit_relL2,fit_corr,candidate_peak_cell,candidate_peak_amp,edge_HP_over_h2
h002_mid_k20,-1,80,1.6,3,1.130946548553021,0.11054318144734177,171.5848392474105,0.04114842645640934,0.9120424084365437,0.4100958975816128,171,0.07478155754035738,0.07320423531272692
h002_mid_k20,-1,80,1.6,4,1.130946548553021,0.11054318144734177,171.58483507394033,0.04114842964412295,0.9289664795795073,0.37016385536361696,168,0.04181630137358083,0.07320423531272692
h002_mid_k20,-1,80,1.6,5,1.130946548553021,0.11054318144734177,149.21577086886055,0.04974953035062368,0.9315016556267561,0.3637370830209813,150,0.060010687468528626,0.07320423531272692
h002_mid_k20,-1,82,1.6400000000000001,1,1.130946548553021,0.11302757547615769,172.04535800520648,0.047204709471950476,0.8813512665276687,0.47246158043810715,172,0.06485627270066968,0.06367202237051776
h002_mid_k20,-1,82,1.6400000000000001,2,1.130946548553021,0.11302757547615769,125.32886185910206,0.05932731733699138,0.8985863210952733,0.43879679071349476,122,0.01981508132522234,0.06367202237051776
h002_mid_k20,-1,82,1.6400000000000001,3,1.130946548553021,0.11302757547615769,125.32886013373161,0.0593273977740859,0.9096367773483407,0.41540454173651625,126,0.11302757547615769,0.06367202237051776
h002_mid_k20,-1,82,1.6400000000000001,4,1.130946548553021,0.11302757547615769,131.05015849446215,0.05005137418273057,0.9435649983682725,0.3311873999026557,130,0.0703969385163169,0.06367202237051776
h002_mid_k20,-1,82,1.6400000000000001,5,1.130946548553021,0.11302757547615769,149.68019224969237,0.04625183957250367,0.9453369559589252,0.3260951390289548,150,0.06720565739087894,0.06367202237051776
h002_mid_k20,-1,84,1.68,1,1.130946548553021,0.1106346486985434,126.442149400527,0.06274144103969019,0.9044768110664172,0.4265227992067066,126,0.1106346486985434,0.03581810569246702
h002_mid_k20,-1,84,1.68,2,1.130946548553021,0.1106346486985434,149.85174117290126,0.04046545216516492,0.9534908176854572,0.3014220638730983,153,0.02070646465460461,0.03581810569246702
h002_mid_k20,-1,84,1.68,3,1.130946548553021,0.1106346486985434,149.85174061504085,0.04046549097878116,0.9536084029750455,0.30104985264135764,150,0.07493840880789435,0.03581810569246702
h002_mid_k20,-1,84,1.68,4,1.130946548553021,0.1106346486985434,173.42079253999214,0.024814971765947016,0.9577541179320248,0.28758833353293095,173,0.050658927362069756,0.03581810569246702
h002_mid_k20,-1,84,1.68,5,1.130946548553021,0.1106346486985434,120.95041003925314,0.038981311020288505,0.9602106584455582,0.27927672908344503,122,0.07738071385704233,0.03581810569246702
h002_mid_k20,-1,86,1.72,1,1.130946548553021,0.10886937706232867,170.13261832655803,0.062483517980967164,0.8017668818875103,0.5976369023984208,174,0.023798809305394908,0.056318035787329704
h002_mid_k20,-1,86,1.72,2,1.130946548553021,0.10886937706232867,170.13261953863548,0.06248347971314248,0.8066174186881798,0.5910738869792994,171,0.08636414940357001,0.056318035787329704
h002_mid_k20,-1,86,1.72,3,1.130946548553021,0.10886937706232867,169.49997994862326,0.06077986456007429,0.8768200400078618,0.48081869497827484,165,0.03143338847904409,0.056318035787329704
h002_mid_k20,-1,86,1.72,4,1.130946548553021,0.10886937706232867,122.06554033774205,0.05874209349831181,0.9095358241044934,0.41562553418980347,122,0.10886937706232867,0.056318035787329704
h002_mid_k20,-1,86,1.72,5,1.130946548553021,0.10886937706232867,144.1510330685336,0.044416172515357136,0.9536154324037032,0.30102758525008744,145,0.05728639217358918,0.056318035787329704
h002_mid_k20,-1,88,1.76,1,1.130946548553021,0.11153481488317782,171.62870052289065,0.08027673849418734,0.7590916789557652,0.6509837347738554,171,0.10705460450872643,0.05196698388817673
h002_mid_k20,-1,88,1.76,2,1.130946548553021,0.11153481488317782,171.49997997828802,0.08015796573297038,0.7798482892781569,0.6259685660717575,167,0.035302888300677474,0.05196698388817673
h002_mid_k20,-1,88,1.76,3,1.130946548553021,0.11153481488317782,123.13250965777036,0.05972182631436795,0.9066945083772706,0.4217879425475548,123,0.11153481488317782,0.05196698388817673
h002_mid_k20,-1,88,1.76,4,1.130946548553021,0.11153481488317782,123.13249752118122,0.059721819452104176,0.9221905790360447,0.3867357443231287,126,0.027743704430430147,0.05196698388817673
h002_mid_k20,-1,88,1.76,5,1.130946548553021,0.11153481488317782,117.6329663512928,0.04310034053455323,0.9448935863775488,0.32737762663715037,114,0.005744310348370318,0.05196698388817673
h002_mid_k20,-1,90,1.8,1,1.130946548553021,0.11096136888128848,118.65695022931016,0.06451553866662411,0.8944434554424363,0.4471810651360298,119,0.11096136888128848,0.025186491184089083
h002_mid_k20,-1,90,1.8,2,1.130946548553021,0.11096136888128848,172.58334351196197,0.035375270277075134,0.925367102770254,0.3790721898406508,173,0.04656889116448569,0.025186491184089083
h002_mid_k20,-1,90,1.8,3,1.130946548553021,0.11096136888128848,166.20463343049119,0.036044179207639485,0.93259005796318,0.36093736823475775,167,0.05878267475907835,0.025186491184089083
h002_mid_k20,-1,90,1.8,4,1.130946548553021,0.11096136888128848,124.98823045103791,0.04929046382202121,0.9447346304659902,0.32783605353635065,123,0.07564138619774904,0.025186491184089083
h002_mid_k20,-1,90,1.8,5,1.130946548553021,0.11096136888128848,124.98822491010958,0.049290414736625716,0.9519813706890731,0.3061559567621603,129,0.04547642547354283,0.025186491184089083
h002_mid_k20,-1,92,1.84,1,1.130946548553021,0.1128302966273401,169.5000200513757,0.0472030465733319,0.8356735139016176,0.5492265271846613,174,0.013468714865018138,0.08821677659037894
h002_mid_k20,-1,92,1.84,2,1.130946548553021,0.1128302966273401,167.67486089681915,0.048712927274434284,0.8702905398614807,0.49253870530914856,171,0.057763627571488466,0.08821677659037894
h002_mid_k20,-1,92,1.84,3,1.130946548553021,0.1128302966273401,167.67484721779897,0.04871294845556791,0.8749632999933534,0.48418924364832894,166,0.060104273133361044,0.08821677659037894
h002_mid_k20,-1,92,1.84,4,1.130946548553021,0.1128302966273401,119.84906801767306,0.06357033530087895,0.8941934495222418,0.44768077335475837,119,0.1128302966273401,0.08821677659037894
h002_mid_k20,-1,92,1.84,5,1.130946548553021,0.1128302966273401,113.49997950838326,0.04635852074343681,0.9306492976018067,0.3659124005459005,109,0.0051916828177316155,0.08821677659037894
h002_mid_k20,-1,94,1.8800000000000001,1,1.130946548553021,0.10982303718842405,170.85129919951896,0.07217151802197018,0.7751339209019174,0.6317969647499267,171,0.09428822835166549,0.086415889101869
h002_mid_k20,-1,94,1.8800000000000001,2,1.130946548553021,0.10982303718842405,169.49997994862326,0.06420858424472556,0.8399924521184656,0.5425980836530915,165,0.048382851814547226,0.086415889101869
h002_mid_k20,-1,94,1.8800000000000001,3,1.130946548553021,0.10982303718842405,115.20413717850442,0.059258343656280965,0.90378096308621,0.4279952929215027,112,0.007700903959824737,0.086415889101869
h002_mid_k20,-1,94,1.8800000000000001,4,1.130946548553021,0.10982303718842405,115.20413822487671,0.05925829983239717,0.91022458572665,0.41411496415699384,116,0.10982303718842405,0.086415889101869
h002_mid_k20,-1,94,1.8800000000000001,5,1.130946548553021,0.10982303718842405,121.27792713525025,0.058492372417148,0.9264514817796855,0.37641420258569525,120,0.0732876450009561,0.086415889101869
h002_mid_k20,-1,96,1.92,1,1.130946548553021,0.10866643392618677,171.8327082696493,0.05377690023146011,0.7485465762577437,0.6630822144898849,172,0.06246192014409605,0.07065707056869809
h002_mid_k20,-1,96,1.92,2,1.130946548553021,0.10866643392618677,171.49997997828802,0.05334520750320743,0.8511653456365207,0.5248976608706333,167,0.018517618823426826,0.07065707056869809
h002_mid_k20,-1,96,1.92,3,1.130946548553021,0.10866643392618677,116.36133884223557,0.06269682189335501,0.90831418656077,0.418288582789976,116,0.10866643392618677,0.07065707056869809
h002_mid_k20,-1,96,1.92,4,1.130946548553021,0.10866643392618677,151.11708724170842,0.0334876686454573,0.9593016951637541,0.2823831752352605,150,0.06241691364985601,0.07065707056869809
h002_mid_k20,-1,96,1.92,5,1.130946548553021,0.10866643392618677,122.55439412501346,0.04384095081005383,0.9618588608468964,0.273546215127007,123,0.06430629351278751,0.07065707056869809
h002_mid_k20,-1,98,1.96,1,1.130946548553021,0.10412321588494365,112.00230672867997,0.05206703235185739,0.9357528381220904,0.3526565268734617,112,0.10412321588494365,0.0880755978081421
h002_mid_k20,-1,98,1.96,2,1.130946548553021,0.10412321588494365,117.44371778309062,0.053784020879045366,0.9419908339240154,0.3356385985001393,117,0.07870728725142441,0.0880755978081421
h002_mid_k20,-1,98,1.96,3,1.130946548553021,0.10412321588494365,170.41861626628554,0.019942395430704116,0.9533678535884389,0.30181076147840175,174,0.025279332010483775,0.0880755978081421
h002_mid_k20,-1,98,1.96,4,1.130946548553021,0.10412321588494365,170.418625279485,0.019942364218333966,0.9587645454917525,0.2842015944853109,171,0.04327362916022089,0.0880755978081421
h002_mid_k20,-1,98,1.96,5,1.130946548553021,0.10412321588494365,151.12246977623852,0.032522704716815794,0.9608692672269716,0.2770022586527092,150,0.048333200276254776,0.0880755978081421
h002_mid_k20,-1,100,2.0,1,1.130946548553021,0.09521069459644493,171.52160996548298,0.06647085859292381,0.7331045479436183,0.6801159620126433,171,0.08707951218868129,0.09843116695978912
h002_mid_k20,-1,100,2.0,2,1.130946548553021,0.09521069459644493,171.49997997828802,0.066468141524511,0.7505605070578378,0.6608017291480716,167,0.026470451639942907,0.09843116695978912
h002_mid_k20,-1,100,2.0,3,1.130946548553021,0.09521069459644493,112.90807683427784,0.0528726529394641,0.9398229282030434,0.3416619142132427,113,0.09521069459644493,0.09843116695978912
h002_mid_k20,-1,100,2.0,4,1.130946548553021,0.09521069459644493,107.66111328172246,0.04659403401559209,0.9458391708605917,0.32463558471884807,104,0.026318503423391492,0.09843116695978912
h002_mid_k20,-1,100,2.0,5,1.130946548553021,0.09521069459644493,107.66112050732158,0.04659405661434655,0.9464338040516899,0.32289790112084593,108,0.08593050917283251,0.09843116695978912
h002_mid_k20,-1,102,2.04,1,1.130946548553021,0.10499280940024078,108.5103243667038,0.060639165083961305,0.91514153582275,0.40313269454607426,109,0.10499280940024078,0.0407444858778618
h002_mid_k20,-1,102,2.04,2,1.130946548553021,0.10499280940024078,172.63967192304597,0.027261711468796173,0.9285256986720379,0.37126813343674375,173,0.037265108078802435,0.0407444858778618
