case,h,kappa,method,cell,time,max_ahead_HP_over_h2,raw_peak_cell,candidate_peak_HP_over_h2,candidate_peak_cell,best_fit_center_rel_cells,best_fit_A_over_h2,best_fit_relL2,best_fit_corr
h002_k20_L20,0.02,20,gl4,80,1.6,0.007716985730673292,5.0,0.004853237908599994,317.0,319.42104088191456,0.007247122519793722,0.972790067518589,0.2316883349182232
h002_k20_L20,0.02,20,gl4,85,1.7,0.026739577810472925,330.0,0.004554953743402592,312.0,315.3063895262967,0.007229169961121335,0.9812050015447129,0.19296824853752545
h002_k20_L20,0.02,20,gl4,90,1.8,0.07454484265176928,327.0,0.004534156146667622,322.0,326.263464132236,0.042803320120264964,0.9503173603314249,0.3112826925042778
h002_k20_L20,0.02,20,gl4,95,1.9000000000000001,0.1160478252271748,329.0,0.1160478252271748,329.0,328.82544395508955,0.07157187332674939,0.8490177096987358,0.528364389997957
h002_k20_L20,0.02,20,gl4,100,2.0,0.12429416185448766,326.0,0.12429416185448766,326.0,326.4077744574764,0.07885212856552674,0.7865722745523794,0.6174982242124237
h002_k20_L20,0.02,20,gl4,105,2.1,0.10765765037266777,324.0,0.10765765037266777,324.0,323.75076727320265,0.06737591590596662,0.8774696217879465,0.4796322162233454
h002_k20_L20,0.02,20,gl4,110,2.2,0.12136500362091335,321.0,0.0033709447303122662,287.0,291.49998064574595,0.005661520016408661,0.7942684172466258,0.6075670180025738
h002_k20_L20,0.02,20,gl4,115,2.3000000000000003,0.12011448498978272,318.0,0.12011448498978272,318.0,318.44356983712146,0.06987845756508054,0.8749692632911001,0.48417846740208265
h002_k20_L20,0.02,20,gl4,120,2.4,0.09870009763963088,311.0,0.09870009763963088,311.0,310.38920528816504,0.05501773219055066,0.9314030881419645,0.3639894056145205
h002_k20_L20,0.02,20,gl4,125,2.5,0.1135507530762206,308.0,0.011646714114375449,303.0,307.49998088306427,0.06982671089182219,0.8740132290334227,0.4859021254065157
h002_k20_L20,0.02,20,gl4,130,2.6,0.11853358301925378,305.0,0.11853358301925378,305.0,305.01373624971666,0.06314847488214631,0.9064608407018749,0.42228988180401583
h002_k20_L20,0.02,20,gl4,135,2.7,0.11066457615982553,302.0,0.11066457615982553,302.0,302.3605341416853,0.06062949017335653,0.9153310254202375,0.4027022645865509
h002_k20_L20,0.02,20,gl4,140,2.8000000000000003,0.11584519056148002,300.0,0.04339269324074222,303.0,299.7292673417171,0.07245061744770108,0.8590440580650027,0.5119016568670323
h002_k20_L20,0.02,20,gl4,145,2.9,0.11554912254457293,297.0,0.11554912254457293,297.0,297.2878865510095,0.07605779882028169,0.8494111246180823,0.5277316944954554
h002_k20_L20,0.02,20,gl4,150,3.0,0.10729368412379073,294.0,0.10729368412379073,294.0,294.5698688992869,0.060259659916442276,0.912309552677915,0.40950125774241847
h002_k20_L20,0.02,20,gl4,155,3.1,0.09909442258207686,291.0,0.09514141340227764,287.0,286.2489080194126,0.05289211564573021,0.9347516533062841,0.3553017684182963
h002_k20_L20,0.02,20,gl4,160,3.2,0.11642142954318391,284.0,0.02976256972227203,280.0,283.57237305675915,0.06402327345669126,0.8945327642428189,0.44700238667830533
h002_k20_L20,0.02,20,gl4,165,3.3000000000000003,0.11631007994340116,281.0,0.05479798567069269,277.0,280.83334153682176,0.06790897940952613,0.8765624458640907,0.48128814498256933
h002_k20_L20,0.02,20,gl4,170,3.4,0.10090637142846329,278.0,0.08224608903114264,322.0,321.6724553109891,0.05040369597060657,0.8841003735100057,0.4672970463842762
h002_k20_L20,0.02,20,gl4,175,3.5,0.10039208914445018,270.0,0.08277235257231114,317.0,316.47386796747674,0.04599963074657877,0.8861911176455142,0.4633198711540379
h002_k20_L20,0.02,20,gl4,180,3.6,0.11030372375429479,268.0,0.11030372375429479,268.0,267.13482660750185,0.06343547643860635,0.9033754495997404,0.4288505532938797
h002_k20_L20,0.02,20,gl4,185,3.7,0.10803496333592198,265.0,0.10803496333592198,265.0,264.6735403132328,0.05869652544594671,0.9257145515334627,0.3782229092469147
h002_k20_L20,0.02,20,gl4,190,3.8000000000000003,0.12147462266165153,262.0,0.04183274176983604,266.0,262.1232133106173,0.0699110361876671,0.8673871203312851,0.4976339854585905
h002_k20_L20,0.02,20,gl4,195,3.9,0.11157936023644556,259.0,0.030996856045785504,298.0,300.98474188407147,0.05440377535877482,0.8663669806342236,0.4994079042894085
h002_k20_L20,0.02,20,gl4,200,4.0,0.10941699114518566,257.0,0.05176161090774455,210.0,209.02670912272242,0.029610887852742063,0.8654078619915057,0.5010680915836597
h002_k20_L20,0.02,20,gl4,205,4.1,0.1061629289679575,254.0,0.04107704508179013,203.0,202.24532148549144,0.026450232894449307,0.8935104103242562,0.44904247754770305
