cell,xi,demodulated_normalized,Fh,residual_over_A,A_over_h2
440,-24.200271227149415,-0.0001265776706500212,1.3233015120586123e-08,-0.00012659090366514179,0.05908576130742976
440,-23.200271227149415,-5.447954720106172e-05,3.073333122925676e-08,-5.4510280532290985e-05,0.05908576130742976
440,-22.200271227149415,-2.3397543371066698e-05,7.13773553275625e-08,-2.346892072639426e-05,0.05908576130742976
440,-21.200271227149415,-9.9366258421501e-06,1.657720225223811e-07,-1.010239786467248e-05,0.05908576130742976
440,-20.200271227149415,-3.962077733073973e-06,3.8500107855989456e-07,-4.347078811633868e-06,0.05908576130742976
440,-19.200271227149415,-9.750056444374488e-07,8.941543311256502e-07,-1.8691599755630992e-06,0.05908576130742976
440,-18.200271227149415,1.2742006909142719e-06,2.0766467396356165e-06,-8.024460487213448e-07,0.05908576130742976
440,-17.200271227149415,4.479589404816192e-06,4.822939781718214e-06,-3.433503769020218e-07,0.05908576130742976
440,-16.200271227149415,1.1055181011346996e-05,1.120105437971114e-05,-1.4587336836414305e-07,0.05908576130742976
440,-15.200271227149415,2.5952596517882583e-05,2.6013631402789153e-05,-6.10348849065714e-08,0.05908576130742976
440,-14.200271227149415,6.038848942120113e-05,6.0413148941996695e-05,-2.465952079556642e-08,0.05908576130742976
440,-13.200271227149415,0.00014028362375688113,0.00014029269925947552,-9.07550259439727e-09,0.05908576130742976
440,-12.200271227149415,0.0003257415922966233,0.00032574389609658195,-2.303799958682791e-09,0.05908576130742976
440,-11.200271227149415,0.0007560901410448628,0.0007560891699305855,9.711142773256314e-10,0.05908576130742976
440,-10.200271227149415,0.0017536264265866723,0.0017536230191612103,3.4074254618444396e-09,0.05908576130742976
440,-9.200271227149415,0.004060092152431641,0.004060085209915554,6.942516086673541e-09,0.05908576130742976
440,-8.200271227149415,0.009362860908388332,0.009362846938944788,1.3969443544376607e-08,0.05908576130742976
440,-7.200271227149415,0.02140374272977388,0.021403714735969425,2.7993804456135292e-08,0.05908576130742976
440,-6.200271227149415,0.04804351212683612,0.04804345976685804,5.235997808060475e-08,0.05908576130742976
440,-5.200271227149415,0.1040801977917159,0.10408011411500626,8.367670963702307e-08,0.05908576130742976
440,-4.200271227149415,0.21187533843415554,0.21187523734309316,1.0109106239438942e-07,0.05908576130742976
440,-3.2002712271494147,0.3915669664842678,0.39156689556471036,7.091955743610904e-08,0.05908576130742976
440,-2.2002712271494147,0.6336641774999957,0.6336641917371885,-1.4237192749868964e-08,0.05908576130742976
440,-1.2002712271494147,0.8709004108999341,0.8709005139374822,-1.0303754816439206e-07,0.05908576130742976
440,-0.2002712271494147,0.9961308730363077,0.9961309958032594,-1.2276695176833915e-07,0.05908576130742976
440,0.7997287728505853,0.9402380551734711,0.9402381052523086,-5.007883741385062e-08,0.05908576130742976
440,1.7997287728505853,0.7350238798848976,0.7350238103301904,6.955470726045065e-08,0.05908576130742976
440,2.7997287728505853,0.4833834596483551,0.4833832979825147,1.6166584035448373e-07,0.05908576130742976
440,3.7997287728505853,0.274697761777265,0.2746975799281511,1.8184911394502454e-07,0.05908576130742976
440,4.799728772850585,0.13965275559991755,0.13965261185265432,1.4374726323656277e-07,0.05908576130742976
440,5.799728772850585,0.06584416637519819,0.06584407682904125,8.954615693513886e-08,0.05908576130742976
440,6.799728772850585,0.02967714926463343,0.02967710175221088,4.7512422546781815e-08,0.05908576130742976
440,7.799728772850585,0.013057612575860666,0.013057589718267471,2.2857593194665017e-08,0.05908576130742976
440,8.799728772850585,0.005677690109536098,0.005677679668821756,1.0440714341865906e-08,0.05908576130742976
440,9.799728772850585,0.0024552949775397417,0.0024552903081351656,4.669404576182238e-09,0.05908576130742976
440,10.799728772850585,0.0010591902448928907,0.00105918815652831,2.0883645807762413e-09,0.05908576130742976
440,11.799728772850585,0.000456434884591329,0.0004564339330913394,9.514999895848664e-10,0.05908576130742976
440,12.799728772850585,0.00019659914479586436,0.0001965986933593869,4.5143647747198005e-10,0.05908576130742976
440,13.799728772850585,8.466368236739874e-05,8.466345302371236e-05,2.2934368637502299e-10,0.05908576130742976
440,14.799728772850585,3.6456517589747705e-05,3.6456389210215636e-05,1.2837953207276495e-10,0.05908576130742976
440,15.799728772850585,1.5697746722551315e-05,1.569766630930444e-05,8.041324687655908e-11,0.05908576130742976
440,16.799728772850585,6.7591663448515895e-06,6.759110421313275e-06,5.592353831448755e-11,0.05908576130742976
