case,h,kappa,method,cell,time,max_ahead_HP_over_h2,raw_peak_cell,candidate_peak_HP_over_h2,candidate_peak_cell,best_fit_center_rel_cells,best_fit_A_over_h2,best_fit_relL2,best_fit_corr
h001_k5,0.01,5,gl4,185,1.85,0.13038075226283496,661.0,0.05741950799257437,658.0,661.6149204361984,0.08208306415260185,0.8532011542854478,0.5215820072874244
h001_k5,0.01,5,gl4,190,1.9000000000000001,0.11863145279273062,660.0,0.06299430972771511,683.0,683.3531950720492,0.05013627674713645,0.9133637102442191,0.40714460921018464
h001_k5,0.01,5,gl4,195,1.95,0.12190326656172701,654.0,0.04348302666948593,649.0,652.4563554342299,0.08939628821885795,0.8301613579418577,0.557523201113757
h001_k5,0.01,5,gl4,200,2.0,0.12455579965318869,651.0,0.12455579965318869,651.0,651.4999752905264,0.07314254100479652,0.9009679612002223,0.4338856218990377
h001_k5,0.01,5,gl4,205,2.05,0.11145170155665762,650.0,0.020532991130305014,640.0,644.3118963838149,0.08396649907590165,0.8570932616312062,0.515161276559468
h001_k5,0.01,5,gl4,210,2.1,0.13116255336964952,643.0,0.05406600146850204,6.0,5.985531892108156,0.055878641918037895,0.6148012123056278,0.788682109184385
h001_k5,0.01,5,gl4,215,2.15,0.10918550715627406,641.0,0.10898284391468979,637.0,636.4030415103155,0.0708455210933255,0.9063573078359909,0.42251204779543877
h001_k5,0.01,5,gl4,220,2.2,0.14028134594076536,635.0,0.027273694152015377,632.0,634.7755842606043,0.07585847133328333,0.8588971571226405,0.512148097220566
h001_k5,0.01,5,gl4,225,2.25,0.11323410778155786,629.0,0.08551013527883615,674.0,675.0312550766243,0.05906736995617871,0.8696688281439046,0.49363562407387845
h001_k5,0.01,5,gl4,230,2.3000000000000003,0.13444820195441837,626.0,0.13444820195441837,626.0,626.6755857520548,0.07481874864737582,0.8594249923980252,0.5112618531062667
h001_k5,0.01,5,gl4,235,2.35,0.13055225957475455,620.0,0.0658710136458722,645.0,642.7950052226581,0.056787607367030826,0.9053365828788906,0.42469479829775786
h001_k5,0.01,5,gl4,240,2.4,0.11805357362149743,614.0,0.03505821709681638,640.0,644.4555022306388,0.06052667689214681,0.8918858863969263,0.4522605063964455
h001_k5,0.01,5,gl4,245,2.45,0.12431663518242775,611.0,0.08136578167695362,651.0,649.503895034898,0.06404200599994853,0.8823498593014185,0.47059401376427124
h001_k5,0.01,5,gl4,250,2.5,0.13100517437135822,605.0,0.07247586874013219,651.0,651.4311186284422,0.0647196554052804,0.8813268625460495,0.47250710190931183
h001_k5,0.01,5,gl4,255,2.5500000000000003,0.11595899247255337,602.0,0.11595899247255337,602.0,603.0762029286375,0.06434096145429279,0.905419632613253,0.42451771326822413
h001_k5,0.01,5,gl4,260,2.6,0.13108200726136068,596.0,0.13108200726136068,596.0,595.9857397946289,0.07418304853400166,0.8680214849621403,0.49652663739634456
h001_k5,0.01,5,gl4,265,2.65,0.1170465365974539,594.0,0.08935108687190946,661.0,660.0659894233902,0.06483605476540322,0.8792364599746918,0.47638560793875007
h001_k5,0.01,5,gl4,270,2.7,0.1275640086679978,588.0,0.07747384791251027,664.0,662.5220472922952,0.06661069640852048,0.872816024175412,0.4880493703946621
h001_k5,0.01,5,gl4,275,2.75,0.11666763492789949,581.0,0.11666763492789949,581.0,580.2694551403827,0.06842555497173385,0.8870943942241626,0.4615880584851237
h001_k5,0.01,5,gl4,280,2.8000000000000003,0.12901930678556855,579.0,0.06504879141936559,623.0,622.2337799761258,0.04727130638133955,0.8757501427672152,0.4827646294450357
h001_k5,0.01,5,gl4,285,2.85,0.13121759045134335,572.0,0.10746228202021724,7.0,7.092178856547434,0.10666016304655206,0.6911271064402617,0.7227332306899353
h001_k5,0.01,5,gl4,290,2.9,0.1778727875815561,7.0,0.1778727875815561,7.0,7.232668958298291,0.1388877617119625,0.7438450542606944,0.6683521042473828
h001_k5,0.01,5,gl4,295,2.95,0.2517224660087547,6.0,0.2517224660087547,6.0,5.776427985557348,0.17746371617704415,0.727111678447113,0.6865191964292202
h001_k5,0.01,5,gl4,300,3.0,0.24241004911843222,12.0,0.24241004911843222,12.0,12.209008067495688,0.18679063270200336,0.7262841480787917,0.6873946001020547
h001_k5,0.01,5,gl4,305,3.0500000000000003,0.23900516070856315,19.0,0.23900516070856315,19.0,18.613245642725133,0.18661812914127088,0.7270840327690508,0.6865484755589324
h001_k5,0.01,5,gl4,310,3.1,0.2378034961036452,25.0,0.2378034961036452,25.0,25.02325013782547,0.18371520150310225,0.7148984848551184,0.6992282576897586
h001_k5,0.01,5,gl4,315,3.15,0.2282719605002456,32.0,0.2282719605002456,32.0,31.436788702073045,0.17854311832181477,0.7360135209545052,0.6769668359470441
h001_k5,0.01,5,gl4,320,3.2,0.21216653023366813,38.0,0.21216653023366813,38.0,37.835162249820996,0.1699224488269636,0.7712145227830524,0.6365753371349768
h001_k5,0.01,5,gl4,325,3.25,0.22381888557166227,51.0,0.22381888557166227,51.0,51.41919741801644,0.18421905656790372,0.725347902727465,0.6883824663723417
h001_k5,0.01,5,gl4,330,3.3000000000000003,0.2491888476978997,58.0,0.2491888476978997,58.0,57.9189127243053,0.19543003632036215,0.6631114231214164,0.7485207014678282
h001_k5,0.01,5,gl4,335,3.35,0.20992595594593394,64.0,0.20992595594593394,64.0,64.13152193632823,0.19150501092693709,0.725409702833522,0.6883173418089806
h001_k5,0.01,5,gl4,340,3.4,0.2508821112099924,79.0,0.2508821112099924,79.0,78.72366651677271,0.20066554862807787,0.6068485779728341,0.7948174654676061
h001_k5,0.01,5,gl4,345,3.45,0.2082493335297038,95.0,0.2082493335297038,95.0,95.17300799866348,0.2173160062065768,0.6128559484702355,0.790194650971929
h001_k5,0.01,5,gl4,350,3.5,0.2048086979114487,113.0,0.2048086979114487,113.0,112.61908483997513,0.21734508151497217,0.615600235421266,0.7880585956318741
h001_k5,0.01,5,gl4,355,3.5500000000000003,0.20730526090293505,130.0,0.20730526090293505,130.0,130.0699227714506,0.21736032441428663,0.4198737899087007,0.9075825034385049
h001_k5,0.01,5,gl4,360,3.6,0.20332830164381316,148.0,0.20332830164381316,148.0,147.52151177740984,0.21736089650341694,0.016734978000448666,0.9998599604501247
h001_k5,0.01,5,gl4,365,3.65,0.20737948629831365,165.0,0.20737948629831365,165.0,164.97314846408926,0.21736090857506524,0.00045789938269747896,0.9999998951640723
h001_k5,0.01,5,gl4,370,3.7,0.20418211322914734,182.0,0.163046127218664,147.0,146.8793197628254,0.17109669317958545,1.9262114180879625e-05,0.9999999998144857
h001_k5,0.01,5,gl4,375,3.75,0.20711850875931567,200.0,0.1604665377655792,160.0,159.5538685090969,0.17109669314279077,1.2237732441983326e-05,0.9999999999251193
h001_k5,0.01,5,gl4,380,3.8000000000000003,0.2054713887518125,217.0,0.16251648761156046,172.0,172.22842565628457,0.17109669313948403,1.2169712297846626e-05,0.999999999925949
h001_k5,0.01,5,gl4,385,3.85,0.20652322809023527,235.0,0.16311879619983982,185.0,184.9029783948704,0.1710966931392243,1.2169665225821188e-05,0.9999999999259496
h001_k5,0.01,5,gl4,390,3.9,0.2064350096791922,252.0,0.16075170088062005,198.0,197.57753124665737,0.1710966931390006,1.2169670667701576e-05,0.9999999999259496
h001_k5,0.01,5,gl4,395,3.95,0.205596776495696,270.0,0.16235678327549416,210.0,210.2520842753181,0.17109669313874815,1.2169716169214137e-05,0.9999999999259492
h001_k5,0.01,5,gl4,400,4.0,0.2070679232428882,287.0,0.16317569514988317,223.0,222.92663701647393,0.17109669313861656,1.2169667345951853e-05,0.9999999999259496
h001_k5,0.01,5,gl4,405,4.05,0.2043440139485327,305.0,0.1610218361226365,236.0,235.60118983492907,0.17109669313870898,1.2169680849908341e-05,0.9999999999259496
h001_k5,0.01,5,gl4,410,4.1,0.2073660922226267,322.0,0.16218154886716035,248.0,248.27574288964888,0.17109669313895595,1.2169718324588554e-05,0.9999999999259492
h001_k5,0.01,5,gl4,415,4.15,0.20510587417750176,339.0,0.16321680619422738,261.0,260.950295634173,0.17109669313918682,1.2169663276520453e-05,0.9999999999259498
h001_k5,0.01,5,gl4,420,4.2,0.1995425747074064,357.0,0.1612768592715115,274.0,273.62484842536765,0.17109669313926917,1.2169687766596213e-05,0.9999999999259493
h001_k5,0.01,5,gl4,425,4.25,0.20711233946208565,374.0,0.05631610166061119,81.0,80.88825158606687,0.05908576140227254,2.7472766112778374e-05,0.9999999996226236
h001_k5,0.01,5,gl4,430,4.3,0.2095265119443919,392.0,0.05637668861677436,82.0,81.99225824796281,0.05908576136155942,1.2124170438114036e-05,0.9999999999265023
h001_k5,0.01,5,gl4,435,4.3500000000000005,0.21175082541125145,410.0,0.21175082541125145,410.0,409.9623195639381,0.2138204490780177,0.2711729690563334,0.9625306337219469
h001_k5,0.01,5,gl4,440,4.4,0.23207847079329846,426.0,0.05618169927287188,84.0,84.20027156938818,0.0590857613075259,2.3778200201165324e-06,0.9999999999971729
h001_k5,0.01,5,gl4,445,4.45,0.18578636565924933,445.0,0.1602865182403809,337.0,337.09201327115557,0.1682661003037883,0.4457163690323398,0.8951742391158424
h001_k5,0.01,5,gl4,450,4.5,0.19984749067578123,461.0,0.05557017105539283,86.0,86.40828474027899,0.05908576129610755,4.971132939512155e-07,0.9999999999998768
h001_k5,0.01,5,gl4,455,4.55,0.18694248050953746,478.0,0.055229568998919565,88.0,87.51229412103703,0.059085761294779486,8.64577730429074e-07,0.999999999999626
h001_k5,0.01,5,gl4,460,4.6000000000000005,0.18918030538479114,494.0,0.1646461970795476,374.0,374.5768064725378,0.16584884475370862,0.3631374125469159,0.9317355953320298
h001_k5,0.01,5,gl4,465,4.65,0.1876694110429673,511.0,0.1633475057244958,387.0,386.97549780889926,0.1675627403975369,0.3802359575934834,0.9248895158628224
h001_k5,0.01,5,gl4,470,4.7,0.18952183262883712,527.0,0.18952183262883712,527.0,527.6371866518261,0.2089501553754677,0.4959813161933374,0.8683331929548267
