case,sign,cell,time,rank,rho_F,max_ahead_HP_over_h2,fit_center_rel_cells,fit_A_over_h2,fit_relL2,fit_corr,candidate_peak_cell,candidate_peak_amp,edge_HP_over_h2
h002_mid_k20,1,94,1.8800000000000001,4,1.130946548553021,0.10955247198924747,115.22028666313486,0.05919817895985613,0.9038755553660583,0.4277954890034485,112,0.010260482697517448,0.08275592611191601
h002_mid_k20,1,94,1.8800000000000001,5,1.130946548553021,0.10955247198924747,115.22028768202608,0.05919813116073772,0.9110673887461894,0.412257459802973,116,0.10955247198924747,0.08275592611191601
h002_mid_k20,1,96,1.92,1,1.130946548553021,0.10810765317142734,172.19713824238045,0.05525281307310633,0.7496222620999126,0.6618658959065726,173,0.0691310512722134,0.06797370343548927
h002_mid_k20,1,96,1.92,2,1.130946548553021,0.10810765317142734,171.49997997828802,0.05326298663969706,0.8574655774467324,0.5145413331248923,167,0.020522654359377012,0.06797370343548927
h002_mid_k20,1,96,1.92,3,1.130946548553021,0.10810765317142734,116.36195069474547,0.06234969207170992,0.9097694236207023,0.41511395525187444,116,0.10810765317142734,0.06797370343548927
h002_mid_k20,1,96,1.92,4,1.130946548553021,0.10810765317142734,151.26104472429813,0.03419602410260591,0.9563663446958608,0.29217018111552356,150,0.06060375688556234,0.06797370343548927
h002_mid_k20,1,96,1.92,5,1.130946548553021,0.10810765317142734,122.46955492899974,0.0421624930715473,0.9645184452035083,0.264015470876626,123,0.06304584708117342,0.06797370343548927
h002_mid_k20,1,98,1.96,1,1.130946548553021,0.1044500454409119,170.26993511913372,0.0283363995729637,0.9116536288110002,0.4109594396965899,174,0.02291098325854913,0.09302982296986993
h002_mid_k20,1,98,1.96,2,1.130946548553021,0.1044500454409119,170.26994753156316,0.028336364559604477,0.9222399788079646,0.38661792701358916,171,0.05119523198544809,0.09302982296986993
h002_mid_k20,1,98,1.96,3,1.130946548553021,0.1044500454409119,112.002298524803,0.05261807867714824,0.9345282580244713,0.3558889362620696,112,0.1044500454409119,0.09302982296986993
h002_mid_k20,1,98,1.96,4,1.130946548553021,0.1044500454409119,117.41333597461437,0.0524151124876119,0.9455669641494252,0.3254275899631739,117,0.07846671529284874,0.09302982296986993
h002_mid_k20,1,98,1.96,5,1.130946548553021,0.1044500454409119,169.49997994862326,0.027013846399255973,0.9592897914885025,0.28242361081528855,165,0.02142340020455273,0.09302982296986993
h002_mid_k20,1,100,2.0,1,1.130946548553021,0.09569089030421958,171.4346141185158,0.0636593791338564,0.7372489344786521,0.675621202013445,171,0.08593709669389564,0.09449576165933292
h002_mid_k20,1,100,2.0,2,1.130946548553021,0.09569089030421958,171.43461857966838,0.06365937884458477,0.7529798263875923,0.6580436011795198,167,0.02412073557508405,0.09449576165933292
h002_mid_k20,1,100,2.0,3,1.130946548553021,0.09569089030421958,112.91221062437671,0.05313349777458631,0.9413990646227138,0.33729482819557044,113,0.09569089030421958,0.09449576165933292
h002_mid_k20,1,100,2.0,4,1.130946548553021,0.09569089030421958,107.65245511088153,0.047286171583243976,0.9436086449582953,0.3310630229427161,104,0.02655465129847041,0.09449576165933292
h002_mid_k20,1,100,2.0,5,1.130946548553021,0.09569089030421958,107.65246362229459,0.04728619784762603,0.9445524114100465,0.3283606890287969,108,0.08627988610694552,0.09449576165933292
h002_mid_k20,1,102,2.04,1,1.130946548553021,0.1055668294135752,108.52348538332024,0.06147630492281889,0.915364849402402,0.40262537485672406,109,0.1055668294135752,0.0288826018803409
h002_mid_k20,1,102,2.04,2,1.130946548553021,0.1055668294135752,172.59067894070915,0.020750819494384922,0.9528763135853718,0.3033590793234187,173,0.02950450844828004,0.0288826018803409
h002_mid_k20,1,102,2.04,3,1.130946548553021,0.1055668294135752,172.5906798124047,0.020750816419161155,0.9557877471890648,0.29405744731812655,170,0.020281106724682023,0.0288826018803409
h002_mid_k20,1,102,2.04,4,1.130946548553021,0.1055668294135752,158.14797935656668,0.023816841342992244,0.9617371610322272,0.2739737817559775,162,0.02504942865030679,0.0288826018803409
h002_mid_k20,1,102,2.04,5,1.130946548553021,0.1055668294135752,145.02086058379166,0.03016350730072772,0.966217851500478,0.2577267224053417,144,0.05283388259912342,0.0288826018803409
h002_mid_k20,1,104,2.08,1,1.130946548553021,0.10548627604006265,170.66189915464474,0.039945324240179166,0.8464836099392341,0.5324147801331613,174,0.019592158437066118,0.05482752076530905
h002_mid_k20,1,104,2.08,2,1.130946548553021,0.10548627604006265,170.6618919268891,0.039945376675942335,0.8851330403695604,0.4653380500734259,171,0.06804052920105605,0.05482752076530905
h002_mid_k20,1,104,2.08,3,1.130946548553021,0.10548627604006265,169.49997994862326,0.03564770609083089,0.9141412406180361,0.4053958463049634,165,0.03660001656950006,0.05482752076530905
h002_mid_k20,1,104,2.08,4,1.130946548553021,0.10548627604006265,109.52395316544835,0.06262184330567501,0.9176289760998363,0.39743812376515425,109,0.10548627604006265,0.05482752076530905
h002_mid_k20,1,104,2.08,5,1.130946548553021,0.10548627604006265,103.59146174824025,0.05480582023173729,0.9262712321637164,0.3768575386879114,105,0.07514498526223418,0.05482752076530905
h002_mid_k20,1,106,2.12,1,1.130946548553021,0.10102777000505882,171.41297553922993,0.06923198023623155,0.713164047078553,0.7009971768520467,175,0.012142251786587838,0.0647694583588035
h002_mid_k20,1,106,2.12,2,1.130946548553021,0.10102777000505882,171.41297534125977,0.06923197301639171,0.74375270110656,0.668454874764704,171,0.09409409893487602,0.0647694583588035
h002_mid_k20,1,106,2.12,3,1.130946548553021,0.10102777000505882,171.412975157446,0.0692319747871958,0.7741572541579237,0.6329933221090601,167,0.033906388250734436,0.0647694583588035
h002_mid_k20,1,106,2.12,4,1.130946548553021,0.10102777000505882,104.90407297158595,0.07148791385366449,0.8541801566802429,0.519977172512136,101,0.00953220776917464,0.0647694583588035
h002_mid_k20,1,106,2.12,5,1.130946548553021,0.10102777000505882,104.90407063469854,0.07148798184056712,0.8794587951286903,0.4759750284109375,106,0.10102777000505882,0.0647694583588035
h002_mid_k20,1,108,2.16,1,1.130946548553021,0.12034938325993759,106.29930576620916,0.07896846964876769,0.8466219786095643,0.5321947250163488,106,0.12034938325993759,0.04479650923285607
h002_mid_k20,1,108,2.16,2,1.130946548553021,0.12034938325993759,106.29930032741106,0.07896847036871844,0.8518422314371644,0.5237984466759638,110,0.05535962396833049,0.04479650923285607
h002_mid_k20,1,108,2.16,3,1.130946548553021,0.12034938325993759,172.84568281201655,0.042710552303926334,0.8547770707297614,0.5189953365442206,173,0.06767798089799322,0.04479650923285607
h002_mid_k20,1,108,2.16,4,1.130946548553021,0.12034938325993759,117.49997950838326,0.04377689229990296,0.9576203417908357,0.28803347199310503,113,0.01967590244924014,0.04479650923285607
h002_mid_k20,1,108,2.16,5,1.130946548553021,0.12034938325993759,166.32431374492148,0.026535266919244432,0.9603872662225429,0.27866879781846865,166,0.04535433692282641,0.04479650923285607
h002_mid_k20,1,110,2.2,1,1.130946548553021,0.11526703558950802,170.2440943576927,0.0635061186384861,0.7558458099477833,0.6547496556580841,174,0.021081562885311485,0.0954186566284361
