case,h,method,kappa,cell,time,rho_F,mode_type,edge_HP_over_h2,ahead_HP_over_h2,peak_rel_cells,centroid_rel_cells,ahead_energy_fraction,core35_energy_fraction,fit_center_rel_cells,fit_A_over_h2,fit_relL2,fit_corr,track_started
h001_gl4_k5,0.01,gl4,5,12,0.12,1.0956649963446978,complex,0.001735094252050637,3.5452819434628976e-05,5.0,-0.5103791692051852,0.14648575994072455,0.9999980419474707,,,,,False
h001_gl4_k5,0.01,gl4,5,13,0.13,1.0956649963446978,complex,0.0036928676906050973,0.0001036098138449503,5.0,-0.11138148752501681,0.2374177126372829,0.9999994431830824,,,,,False
h001_gl4_k5,0.01,gl4,5,14,0.14,1.0956649963446978,complex,0.00652279956678067,0.00019839224674812061,5.0,-0.02658299651719898,0.2621103621899566,0.9999997755925798,,,,,False
h001_gl4_k5,0.01,gl4,5,15,0.15,1.0956649963446978,complex,0.00933384892511332,0.00028574588091596827,5.0,0.0031308110377424193,0.26860932327092235,0.9999998545387545,,,,,False
h001_gl4_k5,0.01,gl4,5,16,0.16,1.0956649963446978,complex,0.012533383815447007,0.0004374007205793491,5.0,0.0914816818261937,0.30020749563105786,0.9999999038042025,,,,,False
h001_gl4_k5,0.01,gl4,5,17,0.17,1.0956649963446978,complex,0.015864528446998077,0.0005423942946258585,5.0,0.06146548810697976,0.2882061086842216,0.9999999200286472,,,,,False
h001_gl4_k5,0.01,gl4,5,18,0.18,1.0956649963446978,complex,0.019187804278208594,0.0007820759302891878,5.0,0.1894597737547866,0.335848733795118,0.9999999379275831,,,,,False
h001_gl4_k5,0.01,gl4,5,19,0.19,1.0956649963446978,complex,0.022706201075126862,0.0008970653269004457,5.0,0.12805274023205823,0.3124118455391393,0.9999999424088944,,,,,False
h001_gl4_k5,0.01,gl4,5,20,0.2,1.0956649963446978,complex,0.025795399708285805,0.001251448980237015,5.0,0.29243848368591435,0.37481151228895804,0.9999999524410332,,,,,False
h001_gl4_k5,0.01,gl4,5,21,0.21,1.0956649963446978,complex,0.02914096182193014,0.0013700896187521356,5.0,0.21204091832452077,0.3436632982770385,0.9999999522553212,,,,,False
h001_gl4_k5,0.01,gl4,5,22,0.22,1.0956649963446978,complex,0.031559335660304805,0.0018492312592975299,5.0,0.4054750014109182,0.4178597626345591,0.9999999639942674,,,,,False
h001_gl4_k5,0.01,gl4,5,23,0.23,1.0956649963446978,complex,0.03420880576883404,0.001953150249771833,5.0,0.31636205900517506,0.3824845579164189,0.9999999563641052,,,,,False
h001_gl4_k5,0.01,gl4,5,24,0.24,1.0956649963446978,complex,0.03574715631691074,0.0025326533040104494,5.0,0.522047390767319,0.4618244623705082,0.9999999724554874,,,,,False
h001_gl4_k5,0.01,gl4,5,25,0.25,1.0956649963446978,complex,0.037075305190351626,0.002582734094190921,5.0,0.4382218786098932,0.42736348268384106,0.9999999598085212,,,,,False
h001_gl4_k5,0.01,gl4,5,26,0.26,1.0956649963446978,complex,0.03743899070033365,0.0031582437596244135,5.0,0.6345797900213614,0.5034366356446991,0.9999999763159473,,,,,False
h001_gl4_k5,0.01,gl4,5,27,0.27,1.0956649963446978,complex,0.03680873443649425,0.003060877524991392,5.0,0.5646065081721774,0.4734938889644375,0.9999999594093308,,,,,False
h001_gl4_k5,0.01,gl4,5,28,0.28,1.0956649963446978,complex,0.03570014624421548,0.0034272445470047135,5.0,0.7266696925254587,0.5371048037259665,0.999999967114619,,,,,False
h001_gl4_k5,0.01,gl4,5,29,0.29,1.0956649963446978,complex,0.032453154068022315,0.003036780218655624,5.0,0.6752082877506753,0.5145921874116764,0.9999999432560829,,,,,False
h001_gl4_k5,0.01,gl4,5,30,0.3,1.0956649963446978,complex,0.02964196636818637,0.002964993919198495,5.0,0.7747598278683593,0.5560740350433223,0.9999999113009221,,,,,False
h001_gl4_k5,0.01,gl4,5,31,0.31,1.0956649963446978,complex,0.023157810020167462,0.0022226252113864663,5.0,0.7557236877232358,0.5493750839958959,0.9999998549648,,,,,False
h001_gl4_k5,0.01,gl4,5,32,0.32,1.0956649963446978,complex,0.01839170082722523,0.0017151935724191959,5.0,0.7769826495971623,0.5637016480805357,0.9999996029747458,,,,,False
h001_gl4_k5,0.01,gl4,5,33,0.33,1.0956649963446978,complex,0.009298489654585624,0.0008793772574389341,5.0,0.8093460965700214,0.6235002324179741,0.9999987629976499,,,,,False
h001_gl4_k5,0.01,gl4,5,34,0.34,1.0956649963446978,complex,0.00331975196303581,0.0003252102453226995,5.0,-0.22007942145200943,0.4433216021211365,0.9999855935780007,,,,,False
h001_gl4_k5,0.01,gl4,5,35,0.35000000000000003,1.0956649963446978,complex,0.012344940903952375,0.00023090019063283642,5.0,-0.38488595415473364,0.1608836810230899,0.999999330242286,,,,,False
h001_gl4_k5,0.01,gl4,5,36,0.36,1.0956649963446978,complex,0.019622427608219237,0.0005973283998296,5.0,-0.06387093118538964,0.24920854521039448,0.9999995960003268,,,,,False
h001_gl4_k5,0.01,gl4,5,37,0.37,1.0956649963446978,complex,0.029811898827754,0.0012649745367573938,5.0,0.17474993311452278,0.3326401869908631,0.999999956441232,,,,,False
h001_gl4_k5,0.01,gl4,5,38,0.38,1.0956649963446978,complex,0.03261943996790487,0.0015300747713434188,5.0,0.19991112843368844,0.3391130029101363,0.9999999441020764,,,,,False
h001_gl4_k5,0.01,gl4,5,39,0.39,1.0956649963446978,complex,0.034256361358522947,0.002179914659913606,5.0,0.47189857240228633,0.4435168856617384,0.9999999490696786,,,,,False
h001_gl4_k5,0.01,gl4,5,40,0.4,1.0956649963446978,complex,0.029363976207762394,0.0019650996893635286,5.0,0.4754075585580533,0.44121048586175676,0.9999999295230131,,,,,False
h001_gl4_k5,0.01,gl4,5,41,0.41000000000000003,1.0956649963446978,complex,0.02102491743515822,0.0017854686410394727,5.0,0.7180827237952596,0.5504004160527819,0.9999993747781455,,,,,False
h001_gl4_k5,0.01,gl4,5,42,0.42,1.0956649963446978,complex,0.01017058815997307,0.0009208424243449204,5.0,0.7978593999066239,0.609167445428411,0.9999984565293495,,,,,False
h001_gl4_k5,0.01,gl4,5,43,0.43,1.0956649963446978,complex,0.010048585638513357,0.00015432491588489213,5.0,-1.1649372026360059,0.01434482691697004,0.9999942877414194,,,,,False
h001_gl4_k5,0.01,gl4,5,44,0.44,1.0956649963446978,complex,0.02138964731806058,0.0006030208056858107,5.0,-0.11079263835654247,0.23683219532496283,0.9999995996412289,,,,,False
h001_gl4_k5,0.01,gl4,5,45,0.45,1.0956649963446978,complex,0.035617097890607685,0.0012756064278324352,5.0,-0.03391435618865932,0.2623930018867452,0.9999997556802219,,,,,False
h001_gl4_k5,0.01,gl4,5,46,0.46,1.0956649963446978,complex,0.04450236071759429,0.0026512026784370913,5.0,0.39184868800462375,0.41333199672667,0.9999999718834801,,,,,False
h001_gl4_k5,0.01,gl4,5,47,0.47000000000000003,1.0956649963446978,complex,0.04764093032294318,0.0033076707617654805,5.0,0.39173033091543585,0.4106080469134376,0.999999940765619,,,,,False
h001_gl4_k5,0.01,gl4,5,48,0.48,1.0956649963446978,complex,0.04909278427727885,0.004911737951174649,5.0,0.7293509199992555,0.5367638791813183,0.9999999761411859,,,,,False
h001_gl4_k5,0.01,gl4,5,49,0.49,1.0956649963446978,complex,0.047613833211383405,0.0054731273257788635,5.0,0.7538101653428719,0.5381446991964729,0.9999999537099283,,,,,False
h001_gl4_k5,0.01,gl4,5,50,0.5,1.0956649963446978,complex,0.051838556216543645,0.0070819058837742485,5.0,0.9170112977086552,0.5968054267857503,0.9999999189323323,,,,,False
h001_gl4_k5,0.01,gl4,5,51,0.51,1.0956649963446978,complex,0.057323096936700395,0.008560776210656044,5.0,0.8741968646556884,0.5725146456514185,0.9999999440588531,,,,,False
h001_gl4_k5,0.01,gl4,5,52,0.52,1.0956649963446978,complex,0.06955790191954403,0.01280228962295087,5.0,1.143739697455655,0.6593047867830235,0.9999999459603931,1.2238346987171553,0.0621079110026473,0.33326864186621313,0.9428319109728146,False
h001_gl4_k5,0.01,gl4,5,53,0.53,1.0956649963446978,complex,0.07060180632224138,0.01773747450156393,5.0,1.409269059108508,0.7192924223375143,0.9999999819692158,1.4828167776065584,0.06583129130042051,0.29890042473821327,0.9542843056926568,False
h001_gl4_k5,0.01,gl4,5,54,0.54,1.0956649963446978,complex,0.07116034591655887,0.025639084507479874,5.0,1.9192759239620751,0.8391338102743343,0.9999999849897342,1.989853561354721,0.0690037237843165,0.2758359525011417,0.9612047270523528,False
h001_gl4_k5,0.01,gl4,5,55,0.55,1.0956649963446978,complex,0.06447144096069794,0.03171715484556415,5.0,2.5009673401690544,0.9293943699236531,0.9999999777403918,2.5853619690094547,0.062118651729859455,0.2720377653004475,0.9622865759483182,False
h001_gl4_k5,0.01,gl4,5,56,0.56,1.0956649963446978,complex,0.05954028348885887,0.03648205369383722,5.0,2.966757574791999,0.9712891548061868,0.999999876879688,3.0991118604320036,0.05734365802781679,0.29271992728517615,0.9561982243082033,False
h001_gl4_k5,0.01,gl4,5,57,0.5700000000000001,1.0956649963446978,complex,0.052327146456343746,0.03732822338291763,5.0,3.2810023947416393,0.9509117636660198,0.9999999295056142,3.7177302803047496,0.04801452097200766,0.4430211762699782,0.8965111473798666,False
h001_gl4_k5,0.01,gl4,5,58,0.58,1.0956649963446978,complex,0.04552552674947054,0.03601617319172862,5.0,3.1146711296491203,0.8519400139712785,0.9999997807949133,4.131235217517087,0.04121951506129022,0.5845936361498186,0.8113262479256623,False
h001_gl4_k5,0.01,gl4,5,59,0.59,1.0956649963446978,complex,0.038263651362152824,0.03185622320610079,5.0,2.3515948381987894,0.6335534940886953,0.9999998391186412,4.644514155343586,0.03179808173707557,0.7728208126788912,0.6346242916012107,False
h001_gl4_k5,0.01,gl4,5,60,0.6,1.0956649963446978,complex,0.051648977828520314,0.026927171389517782,5.0,1.199226919862065,0.398581683204502,0.9999996633438673,4.955640837082456,0.024753481066128756,0.8910593221302355,0.45388686304497194,False
h001_gl4_k5,0.01,gl4,5,61,0.61,1.0956649963446978,complex,0.0653782643134352,0.019351634517521976,5.0,0.4544818227256679,0.2863632382892831,0.9999999127653089,5.737212276684204,0.013794783563884826,0.9723655693707502,0.23346348644337786,False
h001_gl4_k5,0.01,gl4,5,62,0.62,1.0956649963446978,complex,0.06515167134175313,0.012969853156904958,5.0,0.050173875136342104,0.21213284801063725,0.9999998483096606,6.062449838257635,0.00805936927840475,0.99011903619045,0.14022943404754135,False
h001_gl4_k5,0.01,gl4,5,63,0.63,1.0956649963446978,complex,0.06312362387898046,0.006176119309491562,5.0,0.19744803097650693,0.3270175140426544,0.9999999440799533,,,,,False
h001_gl4_k5,0.01,gl4,5,64,0.64,1.0956649963446978,complex,0.05502599916734737,0.0024184222075335597,5.0,0.06884962276354173,0.2851256272105901,0.9999998777216326,,,,,False
h001_gl4_k5,0.01,gl4,5,65,0.65,1.0956649963446978,complex,0.046482950113219304,0.0005112180330922805,5.0,0.3581606337035221,0.4088734749833735,0.9999999272240344,,,,,False
h001_gl4_k5,0.01,gl4,5,66,0.66,1.0956649963446978,complex,0.037998541112505876,0.0013313566330920412,5.0,0.3352381258849654,0.39185427683412155,0.9999997627406557,,,,,False
h001_gl4_k5,0.01,gl4,5,67,0.67,1.0956649963446978,complex,0.018189960602927602,0.0013036436269259083,5.0,0.6286827485873059,0.5698472102335183,0.9999973537880059,,,,,False
h001_gl4_k5,0.01,gl4,5,68,0.68,1.0956649963446978,complex,0.01106168064131267,0.00016299100759494442,5.0,-1.213852230093016,0.007837825033282605,0.9999930019194557,,,,,False
h001_gl4_k5,0.01,gl4,5,69,0.6900000000000001,1.0956649963446978,complex,0.029314642671942854,0.0008099815610158785,5.0,-0.22379107517773789,0.20569045842137723,0.9999993898551581,,,,,False
h001_gl4_k5,0.01,gl4,5,70,0.7000000000000001,1.0956649963446978,complex,0.04955810622124677,0.0024499474009502175,5.0,0.2124793140238164,0.350219735904138,0.9999998084868665,,,,,False
h001_gl4_k5,0.01,gl4,5,71,0.71,1.0956649963446978,complex,0.05195877020967523,0.0036717117665916463,5.0,0.4194179120754435,0.41949048748677575,0.9999999759160872,,,,,False
h001_gl4_k5,0.01,gl4,5,72,0.72,1.0956649963446978,complex,0.057968890506597065,0.005931995582874575,5.0,0.7009581994401431,0.5251881790178792,0.9999999284958889,,,,,False
h001_gl4_k5,0.01,gl4,5,73,0.73,1.0956649963446978,complex,0.061218796717904755,0.007904055962165962,5.0,0.7694296129391124,0.5401605762775306,0.9999998657366861,,,,,False
h001_gl4_k5,0.01,gl4,5,74,0.74,1.0956649963446978,complex,0.07944600691995003,0.013682348584803054,5.0,1.0380012335265942,0.626712782498755,0.9999998659085351,1.1081814664321428,0.07162023609515301,0.3237446514004544,0.9461444925008008,False
h001_gl4_k5,0.01,gl4,5,75,0.75,1.0956649963446978,complex,0.0855558423118447,0.022839370945283596,5.0,1.4086863108041838,0.7113039756486712,0.999999968248584,1.4627243847821774,0.08172144455202468,0.268877018060424,0.9631745164605083,False
h001_gl4_k5,0.01,gl4,5,76,0.76,1.0956649963446978,complex,0.08862987774231756,0.039236849311001264,5.0,2.239977213748576,0.8865471736281014,0.9999999479547302,2.308819823515023,0.08620811405758047,0.2547053910605952,0.9670186987668173,False
h001_gl4_k5,0.01,gl4,5,77,0.77,1.0956649963446978,complex,0.0759628013035936,0.052144938761607244,5.0,3.1908337521119763,0.9638484170949403,0.9999998779190894,3.5071927519168185,0.07125477696645717,0.38602424804590985,0.9224886340332812,False
h001_gl4_k5,0.01,gl4,5,78,0.78,1.0956649963446978,complex,0.06641554519218744,0.057352879108939554,5.0,3.0864651285754126,0.791110305771485,0.999999584084299,4.4666193002908585,0.06007305639044841,0.6199606079235382,0.7846329362339294,False
h001_gl4_k5,0.01,gl4,5,79,0.79,1.0956649963446978,complex,0.06762196919375986,0.053922343257296564,5.0,2.443904302319461,0.5922645141989603,0.9999999593534304,5.324442779715582,0.04746824980103155,0.8033440606339206,0.5955151721360288,False
h001_gl4_k5,0.01,gl4,5,80,0.8,1.0956649963446978,complex,0.07701551137411629,0.04895957160157458,5.0,1.8131469003587088,0.47384122202240825,0.9999999115238398,5.6816562508558945,0.04156753733923639,0.8615010050544518,0.5077558648505887,False
h001_gl4_k5,0.01,gl4,5,81,0.81,1.0956649963446978,complex,0.06770363389346279,0.041969395170302154,5.0,2.1986489691029742,0.5895463689118073,0.9999999129880053,6.014827222973054,0.034227794907881956,0.874285183961792,0.4854126256134009,False
h001_gl4_k5,0.01,gl4,5,82,0.8200000000000001,1.0956649963446978,complex,0.05162024598998948,0.0385213653502585,5.0,2.644303516037979,0.6202234402137551,0.9999998770000238,5.8088888653092,0.0329184264632869,0.8148962321730712,0.579606876072163,False
h001_gl4_k5,0.01,gl4,5,83,0.8300000000000001,1.0956649963446978,complex,0.05115005047670809,0.034604885516251516,5.0,2.346753409163167,0.583305566319386,0.9999999210494681,5.835894209648359,0.029017546864394974,0.8427980982084646,0.5382298446353516,False
h001_gl4_k5,0.01,gl4,5,84,0.84,1.0956649963446978,complex,0.05610923451327702,0.031149744731196197,5.0,1.5552637358134058,0.44348859409279084,0.9999998293237019,5.804283862494003,0.025621501298480825,0.8896384268364713,0.4566655992035405,False
h001_gl4_k5,0.01,gl4,5,85,0.85,1.0956649963446978,complex,0.062450996031436924,0.02561696975182726,5.0,1.1275872093915067,0.43148450872945276,0.9999999323767177,6.100196531686606,0.01893310369376182,0.9442746236379267,0.32915867777327745,False
h001_gl4_k5,0.01,gl4,5,86,0.86,1.0956649963446978,complex,0.06193183125676481,0.020800029193883247,5.0,0.6894569137383293,0.3457918881681818,0.9999999125503789,6.096703720312462,0.014629735982240008,0.9646989988910353,0.26335497249650275,False
h001_gl4_k5,0.01,gl4,5,87,0.87,1.0956649963446978,complex,0.05770389162121482,0.015264167763540977,5.0,0.5191721918340761,0.35458002561912,0.999999714792903,6.293300008022925,0.00954476472190112,0.9816480086480808,0.1907018277763941,False
h001_gl4_k5,0.01,gl4,5,88,0.88,1.0956649963446978,complex,0.05010667705817349,0.010570069617087306,5.0,0.3249971609997479,0.30585366627527794,0.999999886573975,6.29192451457061,0.006191059901603078,0.9899380978976856,0.1415011036377878,False
h001_gl4_k5,0.01,gl4,5,89,0.89,1.0956649963446978,complex,0.04651604159866837,0.0060266562494171606,5.0,0.20382294354101088,0.3144307526084544,0.999999373897612,,,,,False
h001_gl4_k5,0.01,gl4,5,90,0.9,1.0956649963446978,complex,0.01009306081404045,0.004362245571638406,5.0,0.6079436559593553,0.43403446876755736,0.999993557809277,,,,,False
h001_gl4_k5,0.01,gl4,5,91,0.91,1.0956649963446978,complex,0.029985061580504093,0.003776553128737395,5.0,0.12958142979252213,0.3428469130033206,0.9999986910681065,,,,,False
h001_gl4_k5,0.01,gl4,5,92,0.92,1.0956649963446978,complex,0.06478297572492515,0.005699507305737325,5.0,0.39379232376343815,0.4181962538592071,0.9999993629196183,,,,,False
h001_gl4_k5,0.01,gl4,5,93,0.93,1.0956649963446978,complex,0.0917394385655638,0.01094841269662571,5.0,0.5781064158531086,0.4731233781079508,0.9999998090409132,0.6685159423566347,0.07907981742496717,0.36823990854268607,0.9297308049949051,False
h001_gl4_k5,0.01,gl4,5,94,0.9400000000000001,1.0956649963446978,complex,0.11694919851087043,0.029442155267280605,5.0,1.4402137750911492,0.7316124514191511,0.9999999909827069,1.516074071222647,0.10799969605990699,0.2996181551670772,0.9540592020908752,False
h001_gl4_k5,0.01,gl4,5,95,0.9500000000000001,1.0956649963446978,complex,0.09946903670914349,0.0577015011264038,5.0,2.7335968172109646,0.9443014499028388,0.9999999762099671,2.793196778504125,0.09994539091188596,0.23871221771900236,0.9710903547619428,False
h001_gl4_k5,0.01,gl4,5,96,0.96,1.0956649963446978,complex,0.09549593675539209,0.0826860693325261,5.0,3.80603119822073,0.9683657499702034,0.9999998301872864,4.0919880639548865,0.09378061705056949,0.3298424422071484,0.9440359968342431,False
h001_gl4_k5,0.01,gl4,5,97,0.97,1.0956649963446978,complex,0.08886615840557072,0.08886615840557072,5.0,4.458115995310779,0.8934723008395518,0.9999999499503219,5.251495581806012,0.08626928254383277,0.46993978061233005,0.8826984777363304,False
h001_gl4_k5,0.01,gl4,5,98,0.98,1.0956649963446978,complex,0.08476795633963094,0.08476795633963094,6.0,4.165970231482324,0.7492713683257846,0.9999999279232461,6.1801599385248664,0.08305079168824868,0.6247394274469178,0.7808333034606666,False
h001_gl4_k5,0.01,gl4,5,99,0.99,1.0956649963446978,complex,0.09082491603797413,0.07997307020769244,7.0,4.046341906742193,0.732745553341714,0.9999999599329424,7.12409311511442,0.07796048813324605,0.7222616361194418,0.691619931024307,False
h001_gl4_k5,0.01,gl4,5,100,1.0,1.0956649963446978,complex,0.08926095730719107,0.07640566447880853,7.0,4.23453187022424,0.7564973091760437,0.9999999700766306,7.853953890168896,0.07541277634937703,0.7421920658429909,0.6701872405527527,False
h001_gl4_k5,0.01,gl4,5,101,1.01,1.0956649963446978,complex,0.08857108900297939,0.07438717786022594,8.0,4.867220544675155,0.8795089620991158,0.9999999374551826,8.565020342272419,0.07229753555484297,0.7488792498412615,0.6627064728499258,False
h001_gl4_k5,0.01,gl4,5,102,1.02,1.0956649963446978,complex,0.07189621404941465,0.07189621404941465,9.0,6.41102866075212,0.962299528188871,0.9999999567971247,9.07403914175461,0.07168808156833598,0.6507920914565193,0.7592559869356641,False
h001_gl4_k5,0.01,gl4,5,103,1.03,1.0956649963446978,complex,0.07058283701925426,0.07058283701925426,9.0,7.623206432723045,0.9820285114271562,0.9999999591585502,9.531164496019983,0.07181373344862266,0.5554332033084665,0.8315611562972957,False
h001_gl4_k5,0.01,gl4,5,104,1.04,1.0956649963446978,complex,0.07030573725944526,0.07030573725944526,10.0,8.609512224292152,0.9880814083130036,0.9999999639950758,9.97346573875825,0.0722753109853752,0.46009197659596357,0.887871259289329,False
h001_gl4_k5,0.01,gl4,5,105,1.05,1.0956649963446978,complex,0.069411921468711,0.069411921468711,10.0,8.685881567920521,0.9516528683744817,0.9999997427997142,10.442980096883502,0.07254183793866124,0.45560130607601323,0.8901839416108508,False
h001_gl4_k5,0.01,gl4,5,106,1.06,1.0956649963446978,complex,0.06980660016002,0.06980660016002,11.0,6.7568642511792145,0.8100137536026947,0.9999997752090027,10.950745310095272,0.07244349524976203,0.6555024411810432,0.755193054526916,False
h001_gl4_k5,0.01,gl4,5,107,1.07,1.0956649963446978,complex,0.10755864218461694,0.0687014342430368,11.0,4.619647426821317,0.7604319474688568,0.9999998803769496,11.508359276786223,0.07175030152149364,0.8223098080667678,0.5690400509254118,False
h001_gl4_k5,0.01,gl4,5,108,1.08,1.0956649963446978,complex,0.10933137773587961,0.06900574809744849,12.0,4.959893664901737,0.8824417426376958,0.9999999735113081,12.091831262322103,0.07050184841192414,0.8463716099197541,0.5325928068626574,False
h001_gl4_k5,0.01,gl4,5,109,1.09,1.0956649963446978,complex,0.11336553998418125,0.08291085674679269,5.0,5.773877832630939,0.9791600142751354,0.9999999713177025,3.1914070773566436,0.1118728216888379,0.5573629056831333,0.8302689873579853,False
h001_gl4_k5,0.01,gl4,5,110,1.1,1.0956649963446978,complex,0.10846118090452671,0.10846118090452671,5.0,6.878728695168649,0.9863228876495559,0.9999999552400096,4.546022460621998,0.10413448241087916,0.5963275542047964,0.8027412086694725,False
h001_gl4_k5,0.01,gl4,5,111,1.11,1.0956649963446978,complex,0.10935822774158116,0.10935822774158116,6.0,7.193512246361747,0.9257113167194574,0.999999969248007,5.701694720191426,0.09974612411240243,0.6524082069695011,0.7578677532913249,False
h001_gl4_k5,0.01,gl4,5,112,1.12,1.0956649963446978,complex,0.10929459273765174,0.10929459273765174,7.0,6.55491492112278,0.8354827626824912,0.9999998734248877,6.790044150709264,0.09402196528899558,0.7434549708869925,0.6687859943684683,False
h001_gl4_k5,0.01,gl4,5,113,1.1300000000000001,1.0956649963446978,complex,0.11269413707723629,0.10814238927223173,8.0,5.421501778201808,0.7715055525585501,0.999999873298748,7.753420283549531,0.08844111438185764,0.8219769937974718,0.5695206946790176,False
h001_gl4_k5,0.01,gl4,5,114,1.1400000000000001,1.0956649963446978,complex,0.11875679820456271,0.10271708784146938,9.0,5.727429158276274,0.9407343277664526,0.9999999672500368,8.695314256762458,0.07860807891076975,0.8643275344392423,0.502929332222908,False
h001_gl4_k5,0.01,gl4,5,115,1.1500000000000001,1.0956649963446978,complex,0.11084397989164924,0.10082628491090993,9.0,6.469111583943348,0.992928260777069,0.9999999537397346,9.44493900163593,0.06889658184892754,0.8777549143702374,0.47910991463222435,False
h001_gl4_k5,0.01,gl4,5,116,1.16,1.0956649963446978,complex,0.11180264925504492,0.10442975430938506,5.0,6.164824253912256,0.9063393786899216,0.9999999012065546,4.101842525210714,0.08067307449748429,0.8251154385398379,0.5649641697339849,False
h001_gl4_k5,0.01,gl4,5,117,1.17,1.0956649963446978,complex,0.11324195388656824,0.11324195388656824,5.0,5.260499082800245,0.810867784417261,0.9999999076884871,5.090492454409514,0.06978648263862683,0.8773401533797033,0.47986899802725186,False
h001_gl4_k5,0.01,gl4,5,118,1.18,1.0956649963446978,complex,0.11046656846785591,0.11046656846785591,6.0,4.276186568345978,0.7807475181837669,0.9999999641045906,5.834019757472106,0.06101701561761871,0.9090780390194813,0.41662587410348634,False
h001_gl4_k5,0.01,gl4,5,119,1.19,1.0956649963446978,complex,0.10893103649356421,0.1021100971785927,6.0,4.027006700152689,0.916648020958987,0.9999999518535142,6.4878607004404785,0.045577288138775825,0.9432023236224228,0.33221886868939654,False
h001_gl4_k5,0.01,gl4,5,120,1.2,1.0956649963446978,complex,0.1056705111954837,0.08437356992883928,6.0,3.9789861073363895,0.9656661461367669,0.9999998343777992,6.87312836373917,0.03245150160420434,0.9622503112913405,0.2721660126094326,False
