h,kappa,dt_variable_phase,N_variable_phase,Ldom_variable_phase,fixed_point_residual_variable_phase,lambda1_real_variable_phase,lambda1_imag_variable_phase,rho_F_variable_phase,lambda1_residual_variable_phase,lambda2_real_variable_phase,lambda2_imag_variable_phase,lambda2_abs_variable_phase,lambda2_residual_variable_phase,lambda3_real_variable_phase,lambda3_imag_variable_phase,lambda3_abs_variable_phase,lambda3_residual_variable_phase,edge_energy_frac,right_edge_energy_frac,left_edge_energy_frac,ritz_iterations_variable_phase,excess_percent_variable_phase,log_growth_per_cell_variable_phase,mode_type_variable_phase,dt_fixed_phase,phi_right,phi_left,x0,N_fixed_phase,Ldom_fixed_phase,fixed_point_residual_fixed_phase,lambda1_real_fixed_phase,lambda1_imag_fixed_phase,rho_F_fixed_phase,arg_lambda,mode_type_fixed_phase,lambda1_residual_fixed_phase,right_edge_energy_fraction,left_edge_energy_fraction,two_edge_energy_fraction,ritz_iterations_fixed_phase,runtime_s,lambda2_real_fixed_phase,lambda2_imag_fixed_phase,lambda2_abs_fixed_phase,lambda2_residual_fixed_phase,lambda3_real_fixed_phase,lambda3_imag_fixed_phase,lambda3_abs_fixed_phase,lambda3_residual_fixed_phase,lambda4_real,lambda4_imag,lambda4_abs,lambda4_residual,lambda5_real,lambda5_imag,lambda5_abs,lambda5_residual,excess_percent_fixed_phase,log_growth_per_cell_fixed_phase,delta_rho,abs_delta_rho,relative_delta_rho,same_mode_type,old_phi_right
0.015,5.0,0.003,1067,16.0,9.564665726102815e-10,-1.0466774400510714,-0.1850353854113179,1.0629072195474916,4.993841934759554e-09,-1.0466774400510714,0.1850353854113179,1.0629072195474916,4.993841934759554e-09,-0.2788105354918041,-0.8770850445536579,0.9203333581267816,0.3884770719517291,0.9957792804880938,0.5364976411038678,0.459281639384226,320,6.290721954749157,0.0610078138454533,complex pair,0.003,0.25,0.4919590427218026,8.000564692820413,1067,16.0,9.744726137128623e-10,-1.0469914666815836,0.1850492766072929,1.0632188702599932,2.966655482290326,complex pair,6.181730147546312e-10,0.5376739947006903,0.4599688971975294,0.9976428918982198,360,5.454641103744507,-1.0469914666815836,-0.1850492766072929,1.0632188702599932,6.181730147546312e-10,-0.3088689256692563,-0.910987263094259,0.9619240129885775,0.2618978544745774,-0.3088689256692563,0.910987263094259,0.9619240129885775,0.2618978544745774,-0.1571000063835006,-0.5425083088846906,0.5647970230220967,0.7958393729380384,6.321887025999318,0.0613009768109309,0.0003116507125016099,0.0003116507125016099,0.0002932059419393991,True,0.21235381197243441
0.015,10.0,0.0015,1067,16.0,2.390757591896886e-10,-1.057866045324571,0.0,1.057866045324571,3.1486762625929015e-14,-0.9723737878777248,-0.3081198387362501,1.020023832258113,0.005597465648847,-0.9723737878777248,0.3081198387362501,1.020023832258113,0.005597465648847,0.9964116303062348,0.7485086134080174,0.2479030168982175,360,5.786604532457096,0.0562537141958168,real flip,0.0015,0.25,0.4919590427218026,8.000564692820413,1067,16.0,2.371689511448949e-10,-1.057871897510832,0.0,1.057871897510832,3.141592653589793,real flip,1.1476942679753146e-09,0.748545505022582,0.2492822334338685,0.9978277384564505,420,10.810187816619871,-0.9720888992063336,-0.3081177435285631,1.0197516226205845,0.0030092340434555,-0.9720888992063336,0.3081177435285631,1.0197516226205845,0.0030092340434555,-0.689993387759616,-0.7466191230261191,1.016627262087872,0.0041511022134955,-0.689993387759616,0.7466191230261191,1.016627262087872,0.0041511022134955,5.78718975108321,0.0562592462479133,5.852186261146031e-06,5.852186261146031e-06,5.532067398335375e-06,True,0.21235381197243441
0.015,15.0,0.001,1067,16.0,1.1472389704891839e-10,-1.0775265429437857,0.0,1.0775265429437857,3.046799176660362e-09,-0.9753837814932108,-0.3278203489722273,1.028999369484874,0.0016061905801423,-0.9753837814932108,0.3278203489722273,1.028999369484874,0.0016061905801423,0.9985233794420608,0.7826862685147211,0.2158371109273398,300,7.752654294378547,0.0746681765148968,real flip,0.001,0.25,0.4919590427218026,8.000564692820413,1067,16.0,1.3100726059533938e-10,-1.077483043347976,0.0,1.077483043347976,3.141592653589793,real flip,8.975931343842633e-10,0.782666914189081,0.2164685001267674,0.9991354143158484,320,5.259875297546387,-0.9753276817437548,-0.3276477683741964,1.0288912220911588,0.0010006379814338,-0.9753276817437548,0.3276477683741964,1.0288912220911588,0.0010006379814338,-0.67566283572368,-0.7598104931142036,1.016775419168173,0.0125596215990081,-0.67566283572368,0.7598104931142036,1.016775419168173,0.0125596215990081,7.748304334797607,0.0746278058398966,-4.349959580962626e-05,4.349959580962626e-05,-4.036986011572953e-05,True,0.21235381197243441
0.015,20.0,0.00075,1067,16.0,7.442819819659939e-11,-1.0832476655873966,0.0,1.0832476655873966,9.807520574645684e-11,-0.9765946622185386,-0.3338921464719111,1.0320954896468455,0.0003025900659492,-0.9765946622185386,0.3338921464719111,1.0320954896468455,0.0003025900659492,0.9988261731448764,0.7886575446725805,0.2101686284722958,320,8.324766558739661,0.0799636266273867,real flip,0.00075,0.25,0.4919590427218026,8.000564692820413,1067,16.0,1.1099541910044274e-10,-1.0832307242680137,0.0,1.0832307242680137,3.141592653589793,real flip,8.151087121023235e-10,0.7887039572312488,0.2105983843136963,0.9993023415449452,300,6.314192533493042,-0.9765946095608856,-0.3339056215176679,1.0320997991979646,0.0007112629776517,-0.9765946095608856,0.3339056215176679,1.0320997991979646,0.0007112629776517,-0.6721949055084073,-0.7649475787198581,1.0183274469348405,0.0152596918713118,-0.6721949055084073,0.7649475787198581,1.0183274469348405,0.0152596918713118,8.323072426801371,0.079947987127392,-1.6941319382901554e-05,1.6941319382901554e-05,-1.563937769828014e-05,True,0.21235381197243441
0.015,30.0,0.0005,1067,16.0,7.456225428532629e-11,-1.087058442747546,0.0,1.087058442747546,6.879530629870161e-10,-0.9774037556222877,-0.3381360481910871,1.034240827172684,0.0005241554427531,-0.9774037556222877,0.3381360481910871,1.034240827172684,0.0005241554427531,0.998982664900697,0.7919744485257859,0.207008216374911,280,8.705844274754604,0.0834753718709123,real flip,0.0005,0.25,0.4919590427218026,8.000564692820413,1067,16.0,9.312642540795779e-11,-1.0870361972883953,0.0,1.0870361972883953,3.141592653589793,real flip,2.890754628451164e-10,0.792041063059622,0.2073444953850294,0.9993855584446514,300,9.393569469451904,-0.9774223171314872,-0.3380999677279283,1.0342465732137147,0.0003882490725888,-0.9774223171314872,0.3380999677279283,1.0342465732137147,0.0003882490725888,-0.6697541099949226,-0.7684494361122393,1.019355239215608,0.0149584404173359,-0.6697541099949226,0.7684494361122393,1.019355239215608,0.0149584404173359,8.703619728839529,0.0834549077579506,-2.224545915074927e-05,2.224545915074927e-05,-2.0463903573136096e-05,True,0.21235381197243441
0.02,5.0,0.004,800,16.0,2.269018972711478e-09,-1.039311248486768,0.0,1.039311248486768,3.5046752880710875e-14,-0.6345524832682932,-0.7557173322731361,0.9867955919642036,0.179249950698622,-0.6345524832682932,0.7557173322731361,0.9867955919642036,0.179249950698622,0.99109515824566,0.6831448760767924,0.3079502821688675,360,3.931124848676815,0.0385582326911349,real flip,0.004,0.25,0.9314692820413768,8.001814692820414,800,16.0,2.246835273389536e-09,-1.0392158733797932,0.0,1.0392158733797932,3.141592653589793,real flip,2.627259344993695e-09,0.6834282777688547,0.3103727151697629,0.9938009929386176,560,4.811860322952271,-0.6597186568654057,-0.7650622898275838,1.0102222594719048,0.0040130757352774,-0.6597186568654057,0.7650622898275838,1.0102222594719048,0.0040130757352774,-0.9295401699777924,-0.3092439558987195,0.9796309263504458,0.1736199432740328,-0.9295401699777924,0.3092439558987195,0.9796309263504458,0.1736199432740328,3.9215873379793154,0.0384664608724864,-9.537510697477103e-05,9.537510697477103e-05,-9.176760774372135e-05,True,0.15926535897926897
0.02,10.0,0.002,800,16.0,6.004136077208955e-10,-1.1188468231141782,0.0,1.1188468231141782,1.8202799568416067e-10,-0.9725908609346332,-0.394004050655813,1.049367511745413,0.0001261579419505,-0.9725908609346332,0.394004050655813,1.049367511745413,0.0001261579419505,0.999522723387586,0.794255387815265,0.2052673355723209,220,11.884682311417816,0.112298532662439,real flip,0.002,0.25,0.9314692820413768,8.001814692820414,800,16.0,3.2689217899402323e-09,-1.1187529833220369,0.0,1.1187529833220369,3.141592653589793,real flip,2.1840264001235067e-11,0.7941724534447202,0.2054639115484114,0.9996363649931316,240,7.390649080276489,-0.9725064047724316,-0.3939522746515256,1.0492697946793816,4.927576915395674e-05,-0.9725064047724316,0.3939522746515256,1.0492697946793816,4.927576915395674e-05,-0.5805069987290915,-0.8304099388282644,1.013197434895203,0.034419526166132,-0.5805069987290915,0.8304099388282644,1.013197434895203,0.034419526166132,11.875298332203688,0.1122146572599418,-9.383979214128146e-05,9.383979214128146e-05,-8.387188505401434e-05,True,0.15926535897926897
0.02,15.0,0.0013333333333333,800,16.0,2.6443414125054687e-10,-1.1282183418999705,0.0,1.1282183418999705,8.309809613197604e-11,-0.9727941093903838,-0.4064844409120966,1.0543045005918592,0.0001606767110446,-0.9727941093903838,0.4064844409120966,1.0543045005918592,0.0001606767110446,0.999594397199108,0.7953339990918824,0.2042603981072258,220,12.821834189997029,0.1206396998586381,real flip,0.0013333333333333,0.25,0.9314692820413768,8.001814692820414,800,16.0,2.6630220251178116e-10,-1.1282301582610623,0.0,1.1282301582610623,3.141592653589793,real flip,3.289998632385112e-11,0.7954179535897321,0.2042575928440548,0.999675546433787,220,11.799489259719849,-0.9728045077891112,-0.4064931210439222,1.0543174416800871,4.5799778045055e-05,-0.9728045077891112,0.4064931210439222,1.0543174416800871,4.5799778045055e-05,-0.5623261821907688,-0.8360976562858573,1.00760608673427,0.078426156035306,-0.5623261821907688,0.8360976562858573,1.00760608673427,0.078426156035306,12.823015826106232,0.1206501732739111,1.1816361091820937e-05,1.1816361091820937e-05,1.0473470119198429e-05,True,0.15926535897926897
0.02,20.0,0.001,800,16.0,1.5895307292623784e-10,-1.130942228782,0.0,1.130942228782,1.123186944702927e-09,-0.9725506982087184,-0.4104727224708075,1.055624325448624,0.0001938135856948,-0.9725506982087184,0.4104727224708075,1.055624325448624,0.0001938135856948,0.9996113887633122,0.7950310050103114,0.2045803837530007,180,13.094222878200013,0.1230511160610211,real flip,0.001,0.25,0.9314692820413768,8.001814692820414,800,16.0,1.9240415488299631e-10,-1.130952135501076,0.0,1.130952135501076,3.141592653589793,real flip,1.8525638470174512e-11,0.794998888227791,0.2046873621457107,0.9996862503735018,220,6.324505567550659,-0.9725534983485212,-0.4104868565150852,1.0556324012276164,3.457316803066831e-05,-0.9725534983485212,0.4104868565150852,1.0556324012276164,3.457316803066831e-05,-0.5495437369870566,-0.8393475906770843,1.0032460799012002,0.1116075373193914,-0.5495437369870566,0.8393475906770843,1.0032460799012002,0.1116075373193914,13.095213550107609,0.1230598757265762,9.90671907619145e-06,9.90671907619145e-06,8.75970392126994e-06,True,0.15926535897926897
0.02,30.0,0.0006666666666666,800,16.0,8.276801466422512e-11,-1.1327890421812117,0.0,1.1327890421812117,1.9875397951745624e-10,-0.9723028716352804,-0.4132564105028941,1.0564817722099842,8.660382384400376e-05,-0.9723028716352804,0.4132564105028941,1.0564817722099842,8.660382384400376e-05,0.9996213382546054,0.7947362074816814,0.204885130772924,200,13.278904218121143,0.1246827706947939,real flip,0.0006666666666666,0.25,0.9314692820413768,8.001814692820414,800,16.0,1.4770672828190183e-10,-1.1327947230332227,0.0,1.1327947230332227,3.141592653589793,real flip,1.072945734850584e-10,0.7946979184490751,0.2049948196357532,0.9996927380848284,200,10.77235460281372,-0.9723060598147838,-0.4132660100818668,1.056488461385895,6.129421692255671e-05,-0.9723060598147838,0.4132660100818668,1.056488461385895,6.129421692255671e-05,-0.5365674922513719,-0.8335892519570351,0.991350450002024,0.1263551223776579,-0.5365674922513719,0.8335892519570351,0.991350450002024,0.1263551223776579,13.27947230332227,0.124687785607152,5.680852011025195e-06,5.680852011025195e-06,5.014924932612856e-06,True,0.15926535897926897
0.03,5.0,0.006,533,16.0,7.729121898059077e-09,-1.0591665762886415,-0.1599996308369636,1.071183326137486,2.009263319562828e-09,-1.0591665762886415,0.1599996308369636,1.071183326137486,2.009263319562828e-09,-0.7734375877690978,-0.6600205101800032,1.0167756763575495,0.0086097875571077,0.9961123987914292,0.5772509314688102,0.4188614673226191,320,7.1183326137486125,0.0687639496813413,complex pair,0.006,0.25,0.3709795213609084,8.004314692820413,533,16.0,7.85108167367099e-09,-1.059263700882084,0.1601547157711842,1.071302534763247,2.9915348158728587,complex pair,7.582870418158051e-10,0.5777726534823352,0.4201733414891763,0.9979459949715116,340,2.764612913131714,-1.059263700882084,-0.1601547157711842,1.071302534763247,7.582870418158051e-10,-0.7735790493791825,-0.6600240949273875,1.0168856137851083,0.0077331367399108,-0.7735790493791825,0.6600240949273875,1.0168856137851083,0.0077331367399108,-0.1495966177246222,-0.8662934711760564,0.8791151950893055,0.3989152855146479,7.130253476324699,0.0688752303465343,0.00011920862576109137,0.00011920862576109137,0.0001112868571161749,True,0.10617690598621721
0.03,10.0,0.003,533,16.0,2.246591912502538e-09,-1.0904139502348964,-0.2071616725882142,1.109918258907573,3.777105439954447e-10,-1.0904139502348964,0.2071616725882142,1.109918258907573,3.777105439954447e-10,-0.7269339577958345,-0.7275448817213189,1.028471941238848,0.0047094084128151,0.9993413005559848,0.5811935140977144,0.4181477864582705,220,10.991825890757267,0.1042863719888305,complex pair,0.003,0.25,0.3709795213609084,8.004314692820413,533,16.0,1.9174571930236084e-09,-1.0903788841359423,0.2071298426786821,1.1098778683700468,2.9538680126045422,complex pair,1.2876076436427877e-10,0.5817194172747604,0.4178799537914684,0.9995993710662288,240,4.96648097038269,-1.0903788841359423,-0.2071298426786821,1.1098778683700468,1.2876076436427877e-10,-0.7265347359843055,-0.7278814381961107,1.0284279802991667,0.0034957134110876,-0.7265347359843055,0.7278814381961107,1.0284279802991667,0.0034957134110876,-0.2674417499218832,-0.397010863983688,0.478688537279047,0.8052196508169349,10.987786837004675,0.1042499807752104,-4.039053752613597e-05,4.039053752613597e-05,-3.639055146807838e-05,True,0.10617690598621721
0.03,15.0,0.002,533,16.0,1.1081991990735671e-09,-1.094074585502386,-0.2137877619107643,1.1147665252352312,2.9227245588868634e-10,-1.094074585502386,0.2137877619107643,1.1147665252352312,2.9227245588868634e-10,-0.7115710112035831,-0.7372456549356932,1.0246289375704989,0.0065650964030423,0.9994371289136196,0.5793874663562159,0.4200496625574036,220,11.476652523523123,0.1086449885781478,complex pair,0.002,0.25,0.3709795213609084,8.004314692820413,533,16.0,8.840427279110941e-10,-1.0940881042759316,0.2137992132231185,1.1147819892216264,2.948611382431273,complex pair,3.848963574375679e-10,0.5800783016736771,0.4195634893430787,0.999641791016756,220,7.483981370925903,-1.0940881042759316,-0.2137992132231185,1.1147819892216264,3.848963574375679e-10,-0.7125493236538488,-0.7378508291616577,1.0257438202271087,0.0092904211241969,-0.7125493236538488,0.7378508291616577,1.0257438202271087,0.0092904211241969,-0.2636499286612576,-0.3715982780530287,0.4556276606342752,0.7072970135685059,11.47819892216264,0.1086588604327364,1.5463986395181095e-05,1.5463986395181095e-05,1.3871950803257192e-05,True,0.10617690598621721
