case,cell,time,q,q_gauge,hp_edge
h0.01_k5_min,92,0.92,-0.01762032738921879,0.01762032738921879,0.025933358430437686
h0.01_k5_min,93,0.93,0.017871370385718285,0.017871370385718285,0.02598341794185743
h0.01_k5_min,94,0.9400000000000001,-0.017104985268699094,0.017104985268699094,0.027026504637932415
h0.01_k5_min,95,0.9500000000000001,0.01720070999720808,0.01720070999720808,0.02691022191543964
h0.01_k5_min,96,0.96,-0.01620092598372374,0.01620092598372374,0.027873036083273742
h0.01_k5_min,97,0.97,0.016129491954927713,0.016129491954927713,0.02756699276590946
h0.01_k5_min,98,0.98,-0.014894273618775686,0.014894273618775686,0.02840897524106068
h0.01_k5_min,99,0.99,0.014653640362449587,0.014653640362449587,0.027894892646125796
h0.01_k5_min,100,1.0,-0.013195237578135581,0.013195237578135581,0.028574691053488414
h0.01_k5_min,101,1.01,0.012794331029206171,0.012794331029206171,0.027839806310721707
h0.01_k5_min,102,1.02,-0.011140975634445903,0.011140975634445903,0.028315508184223473
h0.01_k5_min,103,1.03,0.010599443979504524,0.010599443979504524,0.027351626083863944
h0.01_k5_min,104,1.04,-0.008793320167822829,0.008793320167822829,0.027584772618925054
h0.01_k5_min,105,1.05,0.008138927021144039,0.008138927021144039,0.026385987171824072
h0.01_k5_min,106,1.06,-0.006234316521420425,0.006234316521420425,0.02634387152817405
h0.01_k5_min,107,1.07,0.005498948829153399,0.005498948829153399,0.024903581793291087
h0.01_k5_min,108,1.08,-0.0035566024671320794,0.0035566024671320794,0.024558604058413345
h0.01_k5_min,109,1.09,0.002770816800830904,0.002770816800830904,0.02305112226486488
h0.01_k5_min,110,1.1,-0.0008520852686209036,0.0008520852686209036,0.02340822522429136
h0.01_k5_min,111,1.11,3.8530404698843175e-05,3.8530404698843175e-05,0.023335996325362034
h0.01_k5_min,112,1.12,0.0018036882922231883,-0.0018036882922231883,0.02353697079447324
h0.01_k5_min,113,1.1300000000000001,-0.002637518947715028,-0.002637518947715028,0.023400132019921943
h0.01_k5_min,114,1.1400000000000001,0.004368244351398502,-0.004368244351398502,0.02343370248042697
h0.01_k5_min,115,1.1500000000000001,-0.0052337316829863265,-0.0052337316829863265,0.023240826216868404
h0.01_k5_min,116,1.16,0.006843623185316374,-0.006843623185316374,0.023097025983518777
h0.01_k5_min,117,1.17,-0.007760911528547905,-0.007760911528547905,0.022861211062656428
h0.01_k5_min,118,1.18,0.009269123703635685,-0.009269123703635685,0.02252581601554216
h0.01_k5_min,119,1.19,-0.010272697073740808,-0.010272697073740808,0.022260857801364636
h0.01_k5_min,120,1.2,0.011726218652944848,-0.011726218652944848,0.021713466732876965
h0.01_k5_min,121,1.21,-0.012840972086795554,-0.012840972086795554,0.02142098758931067
h0.01_k5_min,122,1.22,0.014306931470729431,-0.014306931470729431,0.02063689570407257
h0.01_k5_min,123,1.23,-0.015499358508500621,-0.015499358508500621,0.0203014546886197
h0.01_k5_min,124,1.24,0.017025481774136174,-0.017025481774136174,0.019247472991868582
h0.01_k5_min,125,1.25,-0.018229053488060976,-0.018229053488060976,0.01882995954212253
h0.01_k5_min,126,1.26,0.019793444870505612,-0.019793444870505612,0.017469833911713892
