h,kappa,dt,phi_right,phi_left,x0,N,Ldom,fixed_point_residual,lambda_real,lambda_imag,rho_F,arg_lambda,mode_type,right_eigen_residual,left_eigen_residual,left_ritz_lambda_real,left_ritz_lambda_imag,biorthogonality_real,biorthogonality_imag,right_edge_energy_fraction,left_edge_energy_fraction,two_edge_energy_fraction,q0_real,q0_imag,q0_abs,DN_right,DN_left,DN_pair_norm,right_ritz_iterations,left_ritz_iterations,runtime_s,case
0.01,20.0,0.0005,0.25,0.6129385640828104,7.999314692820414,1600,16.0,1.610393246705144e-10,-1.0830096980504411,0.14878102321506165,1.0931815032007395,3.005069848350488,complex pair,1.3889048789526771e-09,,,,,,0.6617644122744929,0.3376341930434445,0.9993986053179373,,,,,,,260,,5.7115561962127686,h0.01_k20
0.01,20.0,0.0005,0.3125,0.6754385640827536,7.999939692820414,1600,16.0,1.977256415042748e-10,-1.0830045370413466,0.1487807365314399,1.0931763511963561,3.0050694656193597,complex pair,1.4271001253587193e-09,,,,,,0.6618113927961233,0.33759880351149746,0.9994101963076207,,,,,,,260,,5.74125075340271,h0.01_k20
0.01,20.0,0.0005,0.375,0.7379385640826968,8.000564692820413,1600,16.0,1.361366773037899e-10,-1.0830072800422406,0.14878312054411677,1.09317939313881,3.005067646605147,complex pair,1.4312818035438434e-09,,,,,,0.6618261337334902,0.33759364886183985,0.99941978259533,,,,,,,260,,7.749202489852905,h0.01_k20
0.01,20.0,0.0005,0.4375,0.8004385640828104,8.001189692820414,1600,16.0,1.6102160203975297e-10,-1.083012253183409,0.148783494037374,1.0931843708374969,3.005067927283355,complex pair,2.517518050525022e-10,,,,,,0.6617566968325598,0.3376714887431243,0.9994281855756841,,,,,,,280,,7.815873622894287,h0.01_k20
0.01,20.0,0.0005,0.5,0.8629385640827536,8.001814692820414,1600,16.0,1.1527924185317157e-10,-1.083012690730032,0.14878384326088046,1.093184851842442,3.00506766527512,complex pair,3.0522457969808904e-10,,,,,,0.6616150654231563,0.3378186037088878,0.999433669132044,,,,,,,280,,7.685757637023926,h0.01_k20
0.01,20.0,0.0005,0.5625,0.9254385640826968,8.002439692820413,1600,16.0,1.6379514613046967e-10,-1.0830081095019284,0.14878408356793513,1.093180345949419,3.005066877132584,complex pair,3.6593921401553027e-10,,,,,,0.6613570574229917,0.3380803064228754,0.9994373638458671,,,,,,,280,,5.936103105545044,h0.01_k20
0.01,20.0,0.0005,0.625,0.9879385640828389,8.003064692820415,1600,16.0,7.785610588032562e-11,-1.0830072970587687,0.1487833073648308,1.093179435423553,3.005067479417258,complex pair,3.501651842949562e-10,,,,,,0.6611319114291982,0.3383051760214496,0.9994370874506479,,,,,,,280,,5.728866815567017,h0.01_k20
0.01,20.0,0.0005,0.6875,0.05043856408278202,8.003689692820414,1600,16.0,1.456012227153908e-10,-1.0830140475258632,0.1487850157155107,1.0931863555861907,3.0050667716642345,complex pair,2.7554950705037416e-10,,,,,,0.6608977223612288,0.3385390802262205,0.9994368025874493,,,,,,,280,,6.081425428390503,h0.01_k20
0.01,20.0,0.0005,0.75,0.11293856408272518,8.004314692820413,1600,16.0,9.315303386795743e-11,-1.083013174157653,0.14878436221816116,1.0931854014025708,3.0050672551587434,complex pair,2.157815390282658e-10,,,,,,0.6607409020638539,0.3386930073531017,0.9994339094169556,,,,,,,280,,7.946524381637573,h0.01_k20
0.01,20.0,0.0005,0.8125,0.17543856408283887,8.004939692820415,1600,16.0,1.1120119835118229e-10,-1.0830081447015794,0.14878412719631975,1.093180386759444,3.0050668419767486,complex pair,1.008740680967601e-09,,,,,,0.6606256501734564,0.33880519335229936,0.9994308435257557,,,,,,,260,,7.7727861404418945,h0.01_k20
0.01,20.0,0.0005,0.875,0.23793856408278202,8.005564692820414,1600,16.0,1.5715759285737395e-10,-1.0830080617129956,0.14878400463525854,1.093180287862274,3.005066942715566,complex pair,8.763447077513277e-10,,,,,,0.6606003072022876,0.33882786521823033,0.9994281724205178,,,,,,,260,,8.173217296600342,h0.01_k20
0.01,20.0,0.0005,0.9375,0.3004385640827252,8.006189692820413,1600,16.0,1.8223708244349918e-10,-1.0830135118476578,0.1487847891052466,1.0931857940504393,3.005066910336596,complex pair,7.738001480463925e-10,,,,,,0.6606608734275075,0.3387660362566559,0.9994269096841634,,,,,,,260,,7.5477073192596436,h0.01_k20
0.02,20.0,0.001,0.0,0.6814692820414336,7.996814692820415,800,16.0,1.6776733645823706e-10,-1.1309524119441074,0.0,1.1309524119441074,3.141592653589793,real flip,1.5538610600948354e-11,7.132272989233311e-12,-1.130952411945393,0.0,1.0,0.0,0.7948080262805529,0.2048481072838308,0.9996561335643837,0.00037672989609119454,0.0,0.00037672989609119454,-0.005555555555555556,0.002016325356015929,0.005910140901211829,220,220.0,8.720552921295166,h0.02_k20
0.02,20.0,0.001,0.0625,0.7439692820413768,7.998064692820414,800,16.0,1.8688196493723834e-10,-1.1309495124447082,0.0,1.1309495124447082,3.141592653589793,real flip,1.6508029414785966e-11,7.034295027444873e-12,-1.1309495124460656,0.0,1.0000000000000002,0.0,0.7949474947313488,0.20471216475316897,0.9996596594845178,0.0006733915346455999,0.0,0.0006733915346455999,-0.004861111111111111,0.0027107698004597424,0.005565848915093946,220,220.0,8.318843841552734,h0.02_k20
0.02,20.0,0.001,0.125,0.8064692820414052,7.999314692820414,800,16.0,1.9304584725767602e-10,-1.1309495253447428,0.0,1.1309495253447428,3.141592653589793,real flip,1.708943786840728e-11,6.958216592208527e-12,-1.130949525346026,0.0,0.9999999999999998,0.0,0.7950322655028783,0.2046341778520516,0.9996664433549299,-0.0009174925311711021,0.0,0.0009174925311711021,-0.004166666666666667,0.0034052142449045027,0.005381133260272565,220,220.0,8.611044645309448,h0.02_k20
0.02,20.0,0.001,0.1875,0.8689692820413484,8.000564692820413,800,16.0,1.9166026524099905e-10,-1.1309479353601344,0.0,1.1309479353601344,3.141592653589793,real flip,1.764455483727514e-11,6.8542329873666556e-12,-1.1309479353610934,0.0,0.9999999999999999,0.0,0.7950508861909553,0.20462477867818357,0.999675664869139,-0.0011075328578747923,0.0,0.0011075328578747923,-0.003472222222222222,0.004099658689348315,0.005372478806811896,220,220.0,8.760650396347046,h0.02_k20
0.02,20.0,0.001,0.25,0.9314692820413768,8.001814692820414,800,16.0,1.9240415488299631e-10,-1.1309521355010759,0.0,1.1309521355010759,3.141592653589793,real flip,1.8525638470174512e-11,6.795323037970977e-12,-1.1309521355015606,0.0,0.9999999999999998,0.0,0.794998888227791,0.20468736214571076,0.9996862503735018,-0.0012425347506894587,0.0,0.0012425347506894587,-0.002777777777777778,0.004794103133793076,0.005540710625918,220,220.0,7.295422554016113,h0.02_k20
