h,kappa,dt,phi_right,phi_left,x0,N,Ldom,fixed_point_residual,lambda_real,lambda_imag,rho_F,arg_lambda,mode_type,right_eigen_residual,left_eigen_residual,left_ritz_lambda_real,left_ritz_lambda_imag,biorthogonality_real,biorthogonality_imag,right_edge_energy_fraction,left_edge_energy_fraction,two_edge_energy_fraction,q0_real,q0_imag,q0_abs,DN_right,DN_left,DN_pair_norm,right_ritz_iterations,left_ritz_iterations,runtime_s,case,q_turn,cells_to_turn_linear,time_to_turn_linear
0.01,5.0,0.002,0.625,0.9879385640828388,8.003064692820415,1600,16.0,2.782694075165182e-10,-1.0564698700034751,0.0,1.0564698700034751,3.141592653589793,real flip,1.3881487779531955e-09,4.2485645891097564e-10,-1.0564698693860723,0.0,1.0000000000000002,0.0,0.7905499133028819,0.2086809877264469,0.9992309010293288,-0.0018360617352958,0.0,0.0018360617352958,0.0013888888888888,0.0054215396009204,0.0055966154048699,360,400.0,8.191447257995605,h0.01_k5,0.07147,66.65669573199285,0.6665669573199285
0.01,5.0,0.002,0.6875,0.050438564082782,8.003689692820414,1600,16.0,2.7958568793451377e-10,-1.0570918896801584,0.0,1.0570918896801584,3.141592653589793,real flip,1.1792475587914667e-09,4.863945898370686e-10,-1.0570918895758388,0.0,1.0000000000000004,0.0,0.7919351310863457,0.2072971272534186,0.9992322583397644,-0.0014846684177772,0.0,0.0014846684177772,0.0020833333333333,-0.0049951270657468,0.0054121688980236,360,380.0,7.769679307937622,h0.01_k5,0.07147,69.77615384019172,0.6977615384019172
0.01,5.0,0.002,0.75,0.1129385640827251,8.004314692820413,1600,16.0,2.785931485504989e-10,-1.057074231378964,0.0,1.057074231378964,3.141592653589793,real flip,1.2778824793891503e-09,3.0492990759071085e-10,-1.0570742308284504,0.0,0.9999999999999998,0.0,0.7919123382553964,0.2073128062820842,0.9992251445374808,-0.001096947264168,0.0,0.001096947264168,0.0027777777777777,-0.004300682621303,0.0051197578450444,360,400.0,7.6376793384552,h0.01_k5,0.07147,75.25000868089424,0.7525000868089424
0.01,5.0,0.002,0.8125,0.1754385640828388,8.004939692820415,1600,16.0,2.7899904608830184e-10,-1.0564460720838516,0.0,1.0564460720838516,3.141592653589793,real flip,8.253557282275025e-10,3.549190827328762e-10,-1.056446071788259,0.0,1.0,0.0,0.7904460286899692,0.2087638538078028,0.999209882497772,0.0006757144971689,0.0,0.0006757144971689,0.0034722222222222,-0.0036062381768573,0.0050061243441126,380,400.0,7.932214975357056,h0.01_k5,0.07147,84.8883423955522,0.8488834239555221
0.01,5.0,0.002,0.875,0.237938564082782,8.005564692820414,1600,16.0,2.777735819137206e-10,-1.0568886430871058,0.0,1.0568886430871058,3.141592653589793,real flip,7.6991329567342e-10,2.8673916492258343e-10,-1.0568886428199011,0.0,1.0,0.0,0.7917408715605821,0.2074679439353519,0.999208815495934,0.0002339115554078,0.0,0.0002339115554078,0.0041666666666666,-0.0029117937324135,0.0050832719631388,380,400.0,8.067291736602783,h0.01_k5,0.07147,103.41871065365379,1.034187106536538
0.01,5.0,0.002,0.9375,0.3004385640827252,8.006189692820413,1600,16.0,2.7761615228882874e-10,-1.0573043642916475,0.0,1.0573043642916475,3.141592653589793,real flip,7.387736008271208e-10,2.372527988645485e-10,-1.057304364054121,0.0,0.9999999999999998,0.0,0.7929877211100914,0.2062235263931504,0.9992112475032418,-0.0002289411883936,0.0,0.0002289411883936,0.0048611111111111,-0.0022173492879697,0.0053429429249644,380,400.0,8.012831449508667,h0.01_k5,0.07147,103.07426800402632,1.0307426800402633
0.01,20.0,0.0005,0.0,0.3629385640828673,7.996814692820415,1600,16.0,1.5598144356428891e-10,-1.0830123209234594,0.1487834448490218,1.093184431252641,3.005067980293753,complex pair,9.504696724905071e-10,,,,,,0.6608073733306775,0.3386089223922107,0.9994162957228884,,,,,,,260,,5.773284673690796,h0.01_k20,,,
0.01,20.0,0.0005,0.0625,0.4254385640828104,7.997439692820414,1600,16.0,1.0361441768946722e-10,-1.083005607524096,0.1487816009812363,1.0931775293698534,3.0050688154833347,complex pair,1.083230323150937e-09,,,,,,0.6610771071395071,0.3383447850853821,0.9994218922248892,,,,,,,260,,5.708029270172119,h0.01_k20,,,
0.01,20.0,0.0005,0.125,0.4879385640827536,7.998064692820414,1600,16.0,8.744267102392919e-11,-1.0830058753911913,0.148781808962913,1.0931778230508142,3.005068660348757,complex pair,1.2157430461529123e-09,,,,,,0.6613696338575767,0.3380600665537501,0.9994297004113268,,,,,,,260,,5.564809560775757,h0.01_k20,,,
0.01,20.0,0.0005,0.1875,0.5504385640826968,7.998689692820413,1600,16.0,1.2987901997375123e-10,-1.083010260043511,0.1487815673046918,1.093182134014801,3.0050694252368717,complex pair,1.26899489775316e-09,,,,,,0.6616091620239132,0.337777545620198,0.9993867076441112,,,,,,,260,,5.683774471282959,h0.01_k20,,,
