label,h,kappa,epsilon,cell,time,hp_edge,hp_ahead_max,hp_ahead_energy,relL2,peak,l2sq,mass
h002_k20_eps1e-5,0.02,20,1e-05,77,1.54,0.031131033994824683,0.0035812749199248934,1.8426483254892245e-05,5.993682483837745e-06,1.333333321699286,8.377580406297248,8.37758038929526
h002_k20_eps1e-5,0.02,20,1e-05,78,1.56,0.013004777277697634,0.0019536676347374497,5.173037507076895e-06,5.8588476393605305e-06,1.333333366961872,8.377580406209868,8.377580389295257
h002_k20_eps1e-5,0.02,20,1e-05,79,1.58,0.03147521401848487,0.0020096169701493043,5.127118207795687e-06,6.118745735066482e-06,1.333333304431337,8.377580406175024,8.377580389295257
h002_k20_eps1e-5,0.02,20,1e-05,80,1.6,0.06004855633557612,0.004174298495734785,2.1827336180160522e-05,6.690235108041082e-06,1.3333333751615446,8.377580406154623,8.377580389295257
h002_k20_eps1e-5,0.02,20,1e-05,81,1.62,0.07280298792087639,0.006956595834949337,6.131582975839991e-05,7.0140233514439086e-06,1.333333303787725,8.377580406133998,8.377580389295257
h002_k20_eps1e-5,0.02,20,1e-05,82,1.6400000000000001,0.06001835632835515,0.010616070385274514,0.00014578044555624858,7.054714467084784e-06,1.3333333570642845,8.377580406059128,8.377580389295257
h002_k20_eps1e-5,0.02,20,1e-05,83,1.6600000000000001,0.052174082390360615,0.012121330739393475,0.00019384093924681203,6.889208105351446e-06,1.3333333277839503,8.377580405972942,8.377580389295256
h002_k20_eps1e-5,0.02,20,1e-05,84,1.68,0.033721753596168684,0.010805175110477202,0.00015653516251598826,6.597372814028484e-06,1.3333333260513343,8.377580405873626,8.377580389295256
h002_k20_eps1e-5,0.02,20,1e-05,85,1.7,0.020979287908997585,0.007480710398101425,7.523163439764624e-05,6.37142163253772e-06,1.3333333636725988,8.377580405771349,8.377580389295254
h002_k20_eps1e-5,0.02,20,1e-05,86,1.72,0.047634832070976914,0.0033729947292677124,1.5386278682671833e-05,6.625512335333215e-06,1.3333333191072008,8.377580405742645,8.377580389295254
h002_k20_eps1e-5,0.02,20,1e-05,87,1.74,0.0540267497000622,0.00016149380874394805,2.8241360014367806e-08,7.033375032281352e-06,1.333333351690046,8.377580405704927,8.377580389295256
h002_k20_eps1e-5,0.02,20,1e-05,88,1.76,0.08372101819441684,0.003900267312239192,1.8797337459772436e-05,7.589207491979581e-06,1.3333333315569422,8.377580405718188,8.377580389295256
h002_k20_eps1e-5,0.02,20,1e-05,89,1.78,0.06833848415068801,0.008953949320346181,0.00010195240131953995,7.473287743005957e-06,1.3333333310615618,8.377580405623947,8.377580389295256
h002_k20_eps1e-5,0.02,20,1e-05,90,1.8,0.046727302974925736,0.010412674172500207,0.0001416843641259029,6.864270941591268e-06,1.3333333563416754,8.377580405487027,8.377580389295256
