label,epsilon,a0,cell,time,hp_edge,hp_ahead_max,hp_ahead_energy,mismatch_l2
h001_k5_epscrit,0.3687,0.005,596,5.96,0.0026868518501881296,2.9969241400885518e-05,1.0094703447987263e-09,0.04213292795331515
h001_k5_epscrit,0.3687,0.005,597,5.97,0.0026842586318070547,3.0618537757361275e-05,1.0522333628461342e-09,0.04219933559054727
h001_k5_epscrit,0.3687,0.005,598,5.98,0.002683429908390184,2.993401654249847e-05,1.0071123334597982e-09,0.04226868648685155
h001_k5_epscrit,0.3687,0.005,599,5.99,0.002680771430197551,3.057841526957124e-05,1.0494777286851774e-09,0.04233510155260001
h001_k5_epscrit,0.3687,0.005,600,6.0,0.0026797945234132013,2.989164577975143e-05,1.0042540786349486e-09,0.04240441866476489
h001_k5_epscrit,0.3687,0.005,601,6.01,0.00267730024336513,3.053811260877299e-05,1.046712428000826e-09,0.042470823423470846
h001_k5_epscrit,0.3687,0.005,602,6.0200000000000005,0.0026760322447740865,2.984731978252065e-05,1.0012700760146795e-09,0.042540088371704456
h001_k5_epscrit,0.3687,0.005,603,6.03,0.0026735076130731776,3.049326357879533e-05,1.0436383593319463e-09,0.0426065237549731
h001_k5_epscrit,0.3687,0.005,604,6.04,0.0026725280809121637,2.9809990697431496e-05,9.98772763073738e-10,0.04267582475294287
h001_k5_epscrit,0.3687,0.005,605,6.05,0.0026697179342659036,3.0447482415372144e-05,1.0405043146845815e-09,0.042742224423824575
h001_k5_epscrit,0.3687,0.005,606,6.0600000000000005,0.0026687618901848798,2.976736042454712e-05,9.959180740649795e-10,0.04281153509256661
h001_k5_epscrit,0.3687,0.005,607,6.07,0.0026662674000990025,3.040978290131043e-05,1.0379396956823512e-09,0.042878113145695354
h001_k5_epscrit,0.3687,0.005,608,6.08,0.002665433165244957,2.973124619006008e-05,9.935030647870746e-10,0.04294747771698849
h001_k5_epscrit,0.3687,0.005,609,6.09,0.00266298949679029,3.0371780848080667e-05,1.0353446999591314e-09,0.04301404767318547
h001_k5_epscrit,0.3687,0.005,610,6.1000000000000005,0.0026619715904967834,2.9690728118024412e-05,9.907889912689274e-10,0.043083327703614574
h001_k5_epscrit,0.3687,0.005,611,6.11,0.00265945643481058,3.032971085045189e-05,1.032479491369859e-09,0.043149876522596456
h001_k5_epscrit,0.3687,0.005,612,6.12,0.0026583355209999922,2.9649524516020552e-05,9.880402489589151e-10,0.04321915633897876
h001_k5_epscrit,0.3687,0.005,613,6.13,0.002655874324238534,3.0288075392494384e-05,1.0296518138119953e-09,0.04328580134143453
h001_k5_epscrit,0.3687,0.005,614,6.140000000000001,0.0026549695852668242,2.9613375792557983e-05,9.856339573535778e-10,0.043355104319253435
h001_k5_epscrit,0.3687,0.005,615,6.15,0.0026523753983569037,3.0246463997296532e-05,1.0268193222567409e-09,0.04342175158049819
h001_k5_epscrit,0.3687,0.005,616,6.16,0.0026513479448044375,2.9570740634253183e-05,9.827899507766714e-10,0.04349103095375575
h001_k5_epscrit,0.3687,0.005,617,6.17,0.0026489788001344446,3.0207880344928524e-05,1.0242070454163162e-09,0.043557698753146336
h001_k5_epscrit,0.3687,0.005,618,6.18,0.002647891687791638,2.9532579904074025e-05,9.802580739089065e-10,0.04362699398504954
h001_k5_epscrit,0.3687,0.005,619,6.19,0.002645201647057866,3.0161732137421003e-05,1.0210711542827427e-09,0.04369357828428244
h001_k5_epscrit,0.3687,0.005,620,6.2,0.0026442492401052603,2.9492049783671504e-05,9.775706691350495e-10,0.04376292498872519
h001_k5_epscrit,0.3687,0.005,621,6.21,0.0026418613320275987,3.0125256663371092e-05,1.0186131291237965e-09,0.04382964291484653
h001_k5_epscrit,0.3687,0.005,622,6.22,0.002641056407133133,2.9457503012043547e-05,9.752833872155603e-10,0.043898998028321104
h001_k5_epscrit,0.3687,0.005,623,6.23,0.002638499300559598,3.008504544737565e-05,1.0158895010793617e-09,0.043965736261790934
h001_k5_epscrit,0.3687,0.005,624,6.24,0.0026375896685609506,2.9416568393367303e-05,9.725645538891751e-10,0.04403501858310065
h001_k5_epscrit,0.3687,0.005,625,6.25,0.0026349850674403756,3.0043388508084438e-05,1.0130779203657768e-09,0.04410174903940174
h001_k5_epscrit,0.3687,0.005,626,6.26,0.002634132929629389,2.9378575217951273e-05,9.700602753543563e-10,0.04417111853155326
h001_k5_epscrit,0.3687,0.005,627,6.2700000000000005,0.002631536195118926,3.0003757094821813e-05,1.0104080443845492e-09,0.04423789395263225
h001_k5_epscrit,0.3687,0.005,628,6.28,0.002630925061012216,2.934409853304707e-05,9.677899492778114e-10,0.04430729005107855
h001_k5_epscrit,0.3687,0.005,629,6.29,0.002628109517282953,2.9962648021171126e-05,1.0076369374285034e-09,0.044374029214834576
h001_k5_epscrit,0.3687,0.005,630,6.3,0.002627385300283297,2.930280845163438e-05,9.650584882807103e-10,0.04444334057964478
h001_k5_epscrit,0.3687,0.005,631,6.3100000000000005,0.002624604417435301,2.9921694846238165e-05,1.0048860920336558e-09,0.04451012994456593
h001_k5_epscrit,0.3687,0.005,632,6.32,0.002624090987127161,2.9267765994724176e-05,9.627605840947024e-10,0.044579526597939914
h001_k5_epscrit,0.3687,0.005,633,6.33,0.0026211444797542365,2.9881242830241264e-05,1.0021680514586865e-09,0.04464630706392376
h001_k5_epscrit,0.3687,0.005,634,6.34,0.002620602681040633,2.922775709590565e-05,9.601251554595579e-10,0.0447156562789601
h001_k5_epscrit,0.3687,0.005,635,6.3500000000000005,0.002617660537353166,2.9840232075339112e-05,9.994200842661941e-10,0.044782445740759444
h001_k5_epscrit,0.3687,0.005,636,6.36,0.002617144047692616,2.9189223298601487e-05,9.57594901696222e-10,0.04485187913594407
h001_k5_epscrit,0.3687,0.005,637,6.37,0.0026144146160898005,2.9803318801975937e-05,9.969499827777793e-10,0.04491875465581835
h001_k5_epscrit,0.3687,0.005,638,6.38,0.00261394291601176,2.9152728617126094e-05,9.55196802122677e-10,0.04498809077164536
h001_k5_epscrit,0.3687,0.005,639,6.390000000000001,0.002611019376905899,2.9762809429295153e-05,9.942420184334632e-10,0.04505495617342975
h001_k5_epscrit,0.3687,0.005,640,6.4,0.0026104036698924474,2.911253365881634e-05,9.52561773227115e-10,0.04512430886787747
h001_k5_epscrit,0.3687,0.005,641,6.41,0.0026076620808226027,2.972473175828594e-05,9.91705674111846e-10,0.04519122317096908
h001_k5_epscrit,0.3687,0.005,642,6.42,0.0026070747261655327,2.9075762481615405e-05,9.501605464403202e-10,0.04526062809412904
h001_k5_epscrit,0.3687,0.005,643,6.43,0.00260430236970455,2.9685243932020326e-05,9.89068544185535e-10,0.04532753549539067
h001_k5_epscrit,0.3687,0.005,644,6.44,0.002603810676130397,2.903920641896115e-05,9.477715943527228e-10,0.04539693968746261
h001_k5_epscrit,0.3687,0.005,645,6.45,0.0026011210740845285,2.9649132991536183e-05,9.866687798720186e-10,0.04546390392021504
h001_k5_epscrit,0.3687,0.005,646,6.46,0.0026005143851005027,2.900163754108052e-05,9.453156470869332e-10,0.04553328330234206
h001_k5_epscrit,0.3687,0.005,647,6.47,0.0025978035438594315,2.960992848665312e-05,9.840592418468796e-10,0.045600247784038185
h001_k5_epscrit,0.3687,0.005,648,6.48,0.002597151378346456,2.8963209745836338e-05,9.428093733561448e-10,0.04566958570769347
h001_k5_epscrit,0.3687,0.005,649,6.49,0.002594262026471513,2.9567402067876558e-05,9.812311560921491e-10,0.04573653884752377
h001_k5_epscrit,0.3687,0.005,650,6.5,0.002593847899888732,2.8927415601956396e-05,9.40488565683732e-10,0.04580594886567029
h001_k5_epscrit,0.3687,0.005,651,6.51,0.0025909405477529115,2.9529444182390906e-05,9.787167852426058e-10,0.04587294164514588
h001_k5_epscrit,0.3687,0.005,652,6.5200000000000005,0.002590542033373038,2.8890258266372402e-05,9.380702630956818e-10,0.04594235299716389
h001_k5_epscrit,0.3687,0.005,653,6.53,0.0025876431845247364,2.949056685718401e-05,9.76138507162246e-10,0.04600935995728401
h001_k5_epscrit,0.3687,0.005,654,6.54,0.00258729060057398,2.885407328547675e-05,9.357188744858136e-10,0.04607873443708557
h001_k5_epscrit,0.3687,0.005,655,6.55,0.0025842045691367773,2.9449492405065058e-05,9.734192396686884e-10,0.046145753184318794
h001_k5_epscrit,0.3687,0.005,656,6.5600000000000005,0.00258413342678275,2.8820562410291016e-05,9.335550065317081e-10,0.04621523309515183
h001_k5_epscrit,0.3687,0.005,657,6.57,0.002581096170573087,2.941412422724819e-05,9.71084001572469e-10,0.04628226372121322
h001_k5_epscrit,0.3687,0.005,658,6.58,0.0025809116340409313,2.8783362602553156e-05,9.311406194344334e-10,0.04635169843225832
h001_k5_epscrit,0.3687,0.005,659,6.59,0.0025778292841890423,2.9375375774095352e-05,9.685249563244067e-10,0.04641873430218397
h001_k5_epscrit,0.3687,0.005,660,6.6000000000000005,0.002577695263622451,2.8747434808596206e-05,9.288169971720807e-10,0.04648821339501008
