label,alpha,alpha_c,cell,time,unstable_subspace_norm,hp_edge,hp_ahead_max,hp_ahead_energy
h002_k20_rank3_baseline,0.0,0.11578513676636337,46,0.92,0.22486609836359178,0.05445573999368994,0.047801653447155604,0.004215267880418236
h002_k20_rank3_baseline,0.0,0.11578513676636337,47,0.9400000000000001,0.22273417922388514,0.049227187823800714,0.04577153042154434,0.0041017038668596404
h002_k20_rank3_baseline,0.0,0.11578513676636337,48,0.96,0.22150696463922687,0.05334048338865761,0.04250862788121793,0.0036844725063583505
h002_k20_rank3_baseline,0.0,0.11578513676636337,49,0.98,0.22050618057955115,0.05848091490843395,0.03739204513199999,0.0029327806006545984
h002_k20_rank3_baseline,0.0,0.11578513676636337,50,1.0,0.21360040243611592,0.05457749950545044,0.03302632206688709,0.0022547469032586603
h002_k20_rank3_baseline,0.0,0.11578513676636337,51,1.02,0.21237292529036733,0.04657161499332478,0.02816159647829743,0.0015883977375301557
h002_k20_rank3_baseline,0.0,0.11578513676636337,52,1.04,0.21277408961567595,0.02793457569415353,0.02481130616068475,0.00114959880678893
h002_k20_rank3_baseline,0.0,0.11578513676636337,53,1.06,0.22013766650144503,0.025556959968236898,0.021459474707908797,0.0008016857455370208
h002_k20_rank3_baseline,0.0,0.11578513676636337,54,1.08,0.22424194356756308,0.026647506777179728,0.018810757527112375,0.000573729366374025
h002_k20_rank3_baseline,0.0,0.11578513676636337,55,1.1,0.2268960468755671,0.03240523855275198,0.01685125286331796,0.0004319223004231447
h002_k20_rank3_baseline,0.0,0.11578513676636337,56,1.12,0.21906317763793168,0.04130506690343079,0.016272537508398445,0.0003837055308782908
h002_k20_rank3_baseline,0.0,0.11578513676636337,57,1.1400000000000001,0.21443628162611808,0.047211974767162476,0.016066645371664492,0.00036384547209577107
h002_k20_rank3_baseline,0.0,0.11578513676636337,58,1.16,0.21382748379017863,0.040374885730957044,0.015697638812445704,0.00034459149826562927
h002_k20_rank3_baseline,0.0,0.11578513676636337,59,1.18,0.22254581317291244,0.03092519856880099,0.013045746446854585,0.00023754607368781994
h002_k20_rank3_baseline,0.0,0.11578513676636337,60,1.2,0.22662620942490141,0.03165975784101284,0.008857733917928413,0.00010908462413871577
h002_k20_rank3_baseline,0.0,0.11578513676636337,61,1.22,0.21120571897031143,0.041038059927650646,0.004149392805958815,2.3939191514221886e-05
h002_k20_rank3_baseline,0.0,0.11578513676636337,62,1.24,0.17755446029599498,0.04168551971684581,0.0012358169732400674,2.1617771672880866e-06
h002_k20_rank3_baseline,0.0,0.11578513676636337,63,1.26,0.1445167510752122,0.03291797303551211,0.00043034940968014897,2.0877402362821415e-07
h002_k20_rank3_baseline,0.0,0.11578513676636337,64,1.28,0.16393605701951966,0.013696382237304442,0.0003775492437240133,1.7153469133291277e-07
h002_k20_rank3_baseline,0.0,0.11578513676636337,65,1.3,0.21655340347466312,0.012419424775982306,0.00023760618725622608,6.97964894426635e-08
h002_k20_rank3_baseline,0.0,0.11578513676636337,66,1.32,0.24795042818035573,0.033901280364986325,0.001138740487976685,1.5984684372331348e-06
h002_k20_rank3_baseline,0.0,0.11578513676636337,67,1.34,0.2631935086653326,0.05530709001223286,0.0023757848189219096,6.996370163827843e-06
h002_k20_rank3_baseline,0.0,0.11578513676636337,68,1.36,0.2545890226352593,0.07186833035191387,0.005943242655391196,4.43511081918284e-05
h002_k20_rank3_baseline,0.0,0.11578513676636337,69,1.3800000000000001,0.22726884630774793,0.08079202229696526,0.010664412036057846,0.00014586957648408694
h002_k20_rank3_baseline,0.0,0.11578513676636337,70,1.4000000000000001,0.18848617130662346,0.07843599830462528,0.01905980440523068,0.0004820761719861843
h002_k20_rank3_baseline,0.0,0.11578513676636337,71,1.42,0.18757420985595566,0.06419369553154992,0.02497863289665688,0.0008675827140744911
h002_k20_rank3_baseline,0.0,0.11578513676636337,72,1.44,0.2194159283398218,0.05179369008205301,0.0274786978785632,0.0010977559766518724
h002_k20_rank3_baseline,0.0,0.11578513676636337,73,1.46,0.251355993920907,0.0399119886123716,0.024818499578561762,0.0009274648126942123
h002_k20_rank3_baseline,0.0,0.11578513676636337,74,1.48,0.27335997843982585,0.05836681074004409,0.019479768781094146,0.0005789012620099384
h002_k20_rank3_baseline,0.0,0.11578513676636337,75,1.5,0.28325758536066675,0.05130427771836427,0.012680636539162753,0.0002448643060356223
h002_k20_rank3_baseline,0.0,0.11578513676636337,76,1.52,0.29842417510617164,0.05224466779941372,0.007219370883199749,7.749656198052913e-05
h002_k20_rank3_baseline,0.0,0.11578513676636337,77,1.54,0.31800040869123564,0.03330433939147707,0.00351439325566412,1.7781127417226626e-05
h002_k20_rank3_baseline,0.0,0.11578513676636337,78,1.56,0.33781037731209174,0.010571850763300021,0.0019928546480626093,5.367206259972527e-06
h002_k20_rank3_baseline,0.0,0.11578513676636337,79,1.58,0.3495141900875819,0.03005344313982169,0.0019626110491899654,4.8930559882133835e-06
h002_k20_rank3_baseline,0.0,0.11578513676636337,80,1.6,0.3326006874902344,0.06241815351694287,0.004234890664713007,2.2460476855098423e-05
h002_k20_rank3_baseline,0.0,0.11578513676636337,81,1.62,0.2944713694286487,0.0705172202918023,0.006928473381973989,6.0840345513540976e-05
h002_k20_rank3_baseline,0.0,0.11578513676636337,82,1.6400000000000001,0.2417563397966576,0.06153129604746345,0.010677277474002387,0.00014744806500413337
h002_k20_rank3_baseline,0.0,0.11578513676636337,83,1.6600000000000001,0.23756878328217165,0.050542044809551184,0.012076732738087705,0.00019249450179404683
h002_k20_rank3_baseline,0.0,0.11578513676636337,84,1.68,0.26610305191354816,0.034291874722237034,0.010842489876056523,0.0001575639168829198
