label,h,kappa,epsilon,cell,time,hp_edge,hp_ahead_max,hp_ahead_energy,relL2,peak,l2sq,mass
h002_k20_epscrit,0.02,20,0.191,94,1.8800000000000001,0.0026585198211699136,7.860166507686787e-05,7.625363213538191e-09,1.2523195237597577e-07,1.3333333323886227,8.37758038683276,8.377580389295243
h002_k20_epscrit,0.02,20,0.191,95,1.9000000000000001,0.0016538050877988734,7.072705220258144e-05,6.28114008866279e-09,1.0901888126311335e-07,1.3333333331655917,8.37758038657795,8.377580389295245
h002_k20_epscrit,0.02,20,0.191,96,1.92,0.002233617579176287,7.296668451582512e-05,6.623450975305034e-09,1.1732992937610652e-07,1.333333332706846,8.377580386323048,8.377580389295243
h002_k20_epscrit,0.02,20,0.191,97,1.94,0.0020523895753986466,7.434569013738425e-05,6.889147149281951e-09,1.1754329340392784e-07,1.3333333326279266,8.37758038606822,8.377580389295243
h002_k20_epscrit,0.02,20,0.191,98,1.96,0.0018929565739174688,7.035671863737423e-05,6.194130200787634e-09,1.0850164541339812e-07,1.3333333330318675,8.377580385813086,8.377580389295243
h002_k20_epscrit,0.02,20,0.191,99,1.98,0.0022270586381787126,7.47548017618519e-05,6.947593663303438e-09,1.2444320416897637e-07,1.3333333323717795,8.377580385558176,8.377580389295243
h002_k20_epscrit,0.02,20,0.191,100,2.0,0.0015213836926112544,6.555486232159609e-05,5.4075649115649865e-09,1.1001376418219137e-07,1.333333332944971,8.377580385302927,8.377580389295245
h002_k20_epscrit,0.02,20,0.191,101,2.02,0.002791913683737479,8.169324684669363e-05,8.23282465448185e-09,1.264215627898829e-07,1.3333333324998264,8.377580385047981,8.377580389295245
h002_k20_epscrit,0.02,20,0.191,102,2.04,0.0011448594824559123,6.321829688663052e-05,5.078539638380893e-09,1.0891685634850383e-07,1.3333333326306516,8.377580384792715,8.377580389295245
h002_k20_epscrit,0.02,20,0.191,103,2.06,0.0027672631773430433,7.837324520585898e-05,7.575486689810657e-09,1.258220924315377e-07,1.3333333325921852,8.377580384537705,8.377580389295243
h002_k20_epscrit,0.02,20,0.191,104,2.08,0.001690315589333761,7.227996807103098e-05,6.5579582436128445e-09,1.0556547490634735e-07,1.3333333324578407,8.377580384282634,8.377580389295243
h002_k20_epscrit,0.02,20,0.191,105,2.1,0.002011577722252839,6.967223215648407e-05,6.067113614723122e-09,1.1624907890114737e-07,1.3333333328282815,8.377580384027572,8.377580389295243
h002_k20_epscrit,0.02,20,0.191,106,2.12,0.0023793480076416897,7.833088974484093e-05,7.611810746309066e-09,1.1641668281940522e-07,1.333333332114115,8.377580383772804,8.377580389295243
h002_k20_epscrit,0.02,20,0.191,107,2.14,0.0015916784849198662,6.787025040939791e-05,5.8048810076631706e-09,1.0650362123785946e-07,1.3333333330402795,8.377580383517907,8.377580389295243
h002_k20_epscrit,0.02,20,0.191,108,2.16,0.0024392941694971735,7.616249379256374e-05,7.193574600501272e-09,1.2065823556286295e-07,1.3333333320593799,8.377580383263366,8.377580389295243
h002_k20_epscrit,0.02,20,0.191,109,2.18,0.0017094174378091025,7.025920349720843e-05,6.194830422805014e-09,1.0845256664878077e-07,1.3333333327352421,8.377580383008896,8.377580389295245
h002_k20_epscrit,0.02,20,0.191,110,2.2,0.0024372311358524506,7.697560821836691e-05,7.354196299484353e-09,1.1500311873342609e-07,1.3333333323967573,8.377580382754662,8.377580389295245
h002_k20_epscrit,0.02,20,0.191,111,2.22,0.0017640018216244092,7.0935819267913e-05,6.312457898277619e-09,1.145843425781455e-07,1.3333333322840186,8.37758038250071,8.377580389295247
h002_k20_epscrit,0.02,20,0.191,112,2.24,0.0021876064467845056,7.318573573686977e-05,6.668961567268972e-09,1.1280710126736264e-07,1.3333333326381833,8.377580382246895,8.377580389295247
h002_k20_epscrit,0.02,20,0.191,113,2.2600000000000002,0.002381187602787508,7.950624179494636e-05,7.852676603382539e-09,1.2002608554695886e-07,1.3333333321999987,8.37758038199361,8.377580389295245
h002_k20_epscrit,0.02,20,0.191,114,2.2800000000000002,0.0014915508321311523,6.58570636409461e-05,5.476657562197737e-09,1.1157418465009072e-07,1.3333333326242647,8.377580381740332,8.377580389295247
h002_k20_epscrit,0.02,20,0.191,115,2.3000000000000003,0.0029592783247097947,8.39373240779312e-05,8.677773166202878e-09,1.2999703591577268e-07,1.3333333321468388,8.377580381487784,8.377580389295249
h002_k20_epscrit,0.02,20,0.191,116,2.32,0.0012722857330893429,6.636053504588918e-05,5.583843411250738e-09,1.0536058444911657e-07,1.3333333325824515,8.377580381235264,8.377580389295249
h002_k20_epscrit,0.02,20,0.191,117,2.34,0.0026550783244280556,7.714833102725929e-05,7.358565954626624e-09,1.264952821834222e-07,1.333333332288983,8.377580380983382,8.37758038929525
h002_k20_epscrit,0.02,20,0.191,118,2.36,0.0018528395414765904,7.403486436324446e-05,6.858659117656139e-09,1.0809639983892334e-07,1.3333333322381078,8.377580380731878,8.37758038929525
h002_k20_epscrit,0.02,20,0.191,119,2.38,0.002140395842142851,7.287354070635728e-05,6.625972603859671e-09,1.155129788814605e-07,1.3333333326358183,8.377580380480763,8.377580389295252
h002_k20_epscrit,0.02,20,0.191,120,2.4,0.002201896005021092,7.591655770431694e-05,7.170387473673951e-09,1.1917821386179258e-07,1.3333333318106693,8.37758038023029,8.377580389295252
h002_k20_epscrit,0.02,20,0.191,121,2.42,0.0018864590732028514,7.119482956368573e-05,6.343537207726644e-09,1.1157377667522016e-07,1.33333333274424,8.377580379980143,8.377580389295252
h002_k20_epscrit,0.02,20,0.191,122,2.44,0.002517594365065237,7.933143731673722e-05,7.79865736379636e-09,1.2103170391524128e-07,1.3333333318998932,8.377580379730714,8.37758038929525
h002_k20_epscrit,0.02,20,0.191,123,2.46,0.0015535500439802497,6.781518840894391e-05,5.7922786064780684e-09,1.1241179085647316e-07,1.3333333324411303,8.377580379481673,8.377580389295252
h002_k20_epscrit,0.02,20,0.191,124,2.48,0.0026874999444959804,7.98039340174908e-05,7.869618815632567e-09,1.2052435883977584e-07,1.333333332136883,8.377580379233327,8.37758038929525
h002_k20_epscrit,0.02,20,0.191,125,2.5,0.0016667479698366408,7.101387888937364e-05,6.337992303844779e-09,1.126211677784665e-07,1.333333332185096,8.377580378985533,8.377580389295252
h002_k20_epscrit,0.02,20,0.191,126,2.52,0.0021317668895160726,7.128592675714492e-05,6.330498695371123e-09,1.1759228752849631e-07,1.3333333322755736,8.377580378738251,8.377580389295249
h002_k20_epscrit,0.02,20,0.191,127,2.54,0.0024424610324160017,8.005855000198903e-05,7.94419696626046e-09,1.2176699311780638e-07,1.3333333319132499,8.377580378491837,8.377580389295249
h002_k20_epscrit,0.02,20,0.191,128,2.56,0.0014301117539539982,6.526742282879395e-05,5.3829747275097064e-09,1.1143780488206194e-07,1.3333333324156982,8.377580378245712,8.377580389295247
h002_k20_epscrit,0.02,20,0.191,129,2.58,0.0027560437131650623,8.006603898074215e-05,7.9070702558146e-09,1.304810056383958e-07,1.333333331713506,8.377580378000596,8.377580389295249
h002_k20_epscrit,0.02,20,0.191,130,2.6,0.001463101922482095,6.823893420549865e-05,5.8706651321785625e-09,1.0605860405908608e-07,1.3333333323106944,8.377580377755839,8.377580389295249
h002_k20_epscrit,0.02,20,0.191,131,2.62,0.0025817111973084825,7.739450941644276e-05,7.414812885011176e-09,1.2438977606232413e-07,1.3333333319340988,8.37758037751194,8.377580389295249
h002_k20_epscrit,0.02,20,0.191,132,2.64,0.0016755056056705912,7.04377475573224e-05,6.226535369198184e-09,1.1063550322244343e-07,1.3333333318206333,8.377580377268645,8.377580389295252
h002_k20_epscrit,0.02,20,0.191,133,2.66,0.00232864945477778,7.483924463021811e-05,6.958955925261391e-09,1.1595224037298085e-07,1.3333333322709238,8.377580377026012,8.37758038929525
h002_k20_epscrit,0.02,20,0.191,134,2.68,0.001987595877300914,7.387159348970566e-05,6.81456453230929e-09,1.1537063367864738e-07,1.3333333315573568,8.377580376784161,8.377580389295252
