base,epsilon,time,cell,mass,l2sq,peak,fit_center,fit_amplitude_scale,fit_relL2,hp_global
h002_k20_L16_base.npz,0.0,1.0,50,8.377580389295252,8.377580408065656,1.3333333431984202,7.999999976906027,0.9999999998977951,4.948487946360544e-06,0.11055640122745278
h002_k20_L16_base.npz,1e-05,0.0,0,8.377580389295252,8.37758040957297,1.3333333333333333,8.0,1.0,0.0,0.04166631944552135
h002_k20_L16_base.npz,1e-05,0.24,12,8.377580389295254,8.377580409462364,1.3333333338567344,7.999999994401771,0.9999999999933917,1.1784898248594859e-07,0.043585509063554885
h002_k20_L16_base.npz,1e-05,0.5,25,8.37758038929526,8.37758040911754,1.3333333425556444,7.999999988356165,0.9999999999725284,7.618260330960741e-07,0.056052425037210474
h002_k20_L16_base.npz,1e-05,0.74,37,8.377580389295261,8.377580408665018,1.333333352380338,7.999999982833682,0.9999999999417085,2.8642795651263503e-06,0.07648982986166232
h002_k20_L16_base.npz,1e-05,1.0,50,8.377580389295264,8.377580408065128,1.3333333431723233,7.999999976906037,0.9999999998977653,4.948129265051964e-06,0.11052250549247186
h002_k20_L16_base.npz,0.191,0.0,0,8.377580389295252,8.37758040957297,1.3333333333333333,8.0,1.0,0.0,0.04166631944552135
h002_k20_L16_base.npz,0.191,0.24,12,8.377580389295254,8.377580406950942,1.3333333345202831,7.999999994619484,0.9999999998434999,1.355907041549766e-07,0.04392163065345698
h002_k20_L16_base.npz,0.191,0.5,25,8.377580389295261,8.377580403986022,1.3333333345895437,7.999999988891995,0.9999999996665447,1.331232225256423e-07,0.04484864889710848
h002_k20_L16_base.npz,0.191,0.74,37,8.377580389295257,8.377580401143886,1.333333333737241,7.999999983624777,0.9999999994969208,1.032760363804798e-07,0.043521830381160656
h002_k20_L16_base.npz,0.191,1.0,50,8.377580389295257,8.377580397967487,1.3333333327727666,7.999999977942633,0.9999999993073412,1.226879296605616e-07,0.04375110810739195
h002_k20_L16_base.npz,0.23,0.0,0,8.377580389295252,8.37758040957297,1.3333333333333333,8.0,1.0,0.0,0.04166631944552135
h002_k20_L16_base.npz,0.23,0.24,12,8.377580389295245,8.377580406438076,1.3333333344569773,7.999999994664371,0.999999999812891,1.3323455088071942e-07,0.04383410019164549
h002_k20_L16_base.npz,0.23,0.5,25,8.377580389295249,8.377580402939154,1.3333333343093572,7.999999988998356,0.999999999604065,1.2859484580235303e-07,0.04458834529747859
h002_k20_L16_base.npz,0.23,0.74,37,8.37758038929525,8.377580399622012,1.3333333333997444,7.999999983782824,0.9999999994060904,1.0400257550761569e-07,0.04346605288401444
h002_k20_L16_base.npz,0.23,1.0,50,8.377580389295249,8.377580395946534,1.3333333327994168,7.9999999781497495,0.999999999186725,1.205378728449386e-07,0.04356064672448516
