label,h,kappa,epsilon,cell,time,hp_edge,hp_ahead_max,hp_ahead_energy,relL2,peak,l2sq,mass
h002_k20_eps0,0.02,20,0.0,119,2.38,0.08229602039805724,0.005346394497146064,3.582008364907604e-05,8.193121715814381e-06,1.3333333129325302,8.377580403803789,8.377580389295272
h002_k20_eps0,0.02,20,0.0,120,2.4,0.05969650480960263,0.009257332128913583,0.00010989325314143518,8.095527239827538e-06,1.3333333354048666,8.377580403728684,8.37758038929527
h002_k20_eps0,0.02,20,0.0,121,2.42,0.049407373039223594,0.010724857565845377,0.00015056664018422392,7.843384766566133e-06,1.3333333454520584,8.377580403642778,8.37758038929527
h002_k20_eps0,0.02,20,0.0,122,2.44,0.028675366592243453,0.008678373558403889,0.0001000546559717592,7.609413352596672e-06,1.333333324411425,8.377580403572203,8.37758038929527
h002_k20_eps0,0.02,20,0.0,123,2.46,0.05293231381764942,0.004070176212240412,2.236717657307297e-05,7.806176496940828e-06,1.3333333789411936,8.377580403535513,8.377580389295272
h002_k20_eps0,0.02,20,0.0,124,2.48,0.09124122956595083,0.0009865477045262366,1.0864232494738745e-06,8.645383015171889e-06,1.333333313266289,8.377580403626181,8.377580389295272
h002_k20_eps0,0.02,20,0.0,125,2.5,0.0753846394587339,0.0076758330158954256,7.393916408361582e-05,8.725063375564803e-06,1.3333333493317543,8.377580403568448,8.377580389295272
h002_k20_eps0,0.02,20,0.0,126,2.52,0.05803634393286411,0.011003877273468098,0.00015701479666010225,8.535558776235864e-06,1.3333333235861395,8.377580403513582,8.377580389295273
h002_k20_eps0,0.02,20,0.0,127,2.54,0.03062267940389391,0.00924085550715892,0.00011330393491172632,8.425068545441795e-06,1.3333333236476268,8.377580403444096,8.377580389295272
h002_k20_eps0,0.02,20,0.0,128,2.56,0.03171476615201498,0.005543474514355391,4.102736670052739e-05,8.113785997942842e-06,1.3333333826923166,8.377580403365117,8.377580389295273
h002_k20_eps0,0.02,20,0.0,129,2.58,0.056139808833879576,0.0017646240663559318,4.247084956773658e-06,8.089256510403043e-06,1.3333333007328234,8.377580403326688,8.377580389295275
h002_k20_eps0,0.02,20,0.0,130,2.6,0.07857824287025125,0.0031481699496447367,1.209510191848683e-05,8.339084641886366e-06,1.3333333643280303,8.37758040331685,8.377580389295275
h002_k20_eps0,0.02,20,0.0,131,2.62,0.09803389211315541,0.009271795312730572,0.00010873055218200609,8.826019613113647e-06,1.3333333281810513,8.37758040335827,8.377580389295277
h002_k20_eps0,0.02,20,0.0,132,2.64,0.09362791771277551,0.02086201850899987,0.0005743279614445915,9.236622451275674e-06,1.3333333191552375,8.377580403379552,8.377580389295279
h002_k20_eps0,0.02,20,0.0,133,2.66,0.08828396155919921,0.03754326342291301,0.001995839946656311,9.101085307344464e-06,1.3333333562970466,8.377580403330283,8.377580389295277
h002_k20_eps0,0.02,20,0.0,134,2.68,0.07202368175457194,0.04887875625587197,0.0037598987515119367,8.64766784581766e-06,1.333333309292287,8.377580403240405,8.377580389295277
h002_k20_eps0,0.02,20,0.0,135,2.7,0.08096999625223261,0.047433997835513955,0.003993859238540951,8.611723406153076e-06,1.3333333807984817,8.377580403193834,8.377580389295279
h002_k20_eps0,0.02,20,0.0,136,2.72,0.11264796052761811,0.03856379294550063,0.00290988502845781,9.056494407124994e-06,1.3333333076080311,8.377580403247489,8.377580389295279
h002_k20_eps0,0.02,20,0.0,137,2.74,0.08837602850540427,0.026357725978499186,0.0014718038982524523,8.831927490435415e-06,1.3333333534951657,8.377580403179161,8.377580389295279
h002_k20_eps0,0.02,20,0.0,138,2.7600000000000002,0.08325907517986122,0.01699492993431224,0.0006197454800811509,8.716042157227966e-06,1.3333333262208336,8.377580403140932,8.377580389295279
