label,alpha,alpha_c,cell,time,unstable_subspace_norm,hp_edge,hp_ahead_max,hp_ahead_energy
h002_k20_rank3_full,1.0,0.11578513676636337,29,0.58,1.4674346262475563e-11,0.0014962221207226495,2.998152097268419e-05,6.853639452125334e-09
h002_k20_rank3_full,1.0,0.11578513676636337,30,0.6,2.1685222267921383e-11,0.00013954884289523793,2.997776723886194e-05,6.3057277420011995e-09
h002_k20_rank3_full,1.0,0.11578513676636337,31,0.62,1.1547509437619355e-11,0.0010477509302744012,2.998421014894345e-05,7.339369750072605e-09
h002_k20_rank3_full,1.0,0.11578513676636337,32,0.64,1.5211442884801123e-11,0.0011386795882133375,2.997433042154711e-05,7.382102356475899e-09
h002_k20_rank3_full,1.0,0.11578513676636337,33,0.66,5.3547952075923445e-12,0.0010142125736343722,2.997619251314695e-05,8.368278201834736e-09
h002_k20_rank3_full,1.0,0.11578513676636337,34,0.68,6.4975678696808984e-12,0.002227819983405739,5.9224486435535834e-05,1.3262167644347898e-08
h002_k20_rank3_full,1.0,0.11578513676636337,35,0.7000000000000001,2.3070087363966943e-11,0.0006042259280133787,4.5393025668160594e-05,1.1176355439214756e-08
h002_k20_rank3_full,1.0,0.11578513676636337,36,0.72,3.2748404921127876e-11,0.0007687812800208574,4.539340877293306e-05,1.2927565770445583e-08
h002_k20_rank3_full,1.0,0.11578513676636337,37,0.74,1.984777793627088e-11,0.0011403544177258013,4.538527469364251e-05,1.5551196490323088e-08
h002_k20_rank3_full,1.0,0.11578513676636337,38,0.76,1.6143497134087907e-11,0.0004194303680653738,4.5389934485314104e-05,1.4334775278585416e-08
h002_k20_rank3_full,1.0,0.11578513676636337,39,0.78,2.2899832558699832e-11,0.0015450672729934525,4.536869151190526e-05,1.484762823875974e-08
h002_k20_rank3_full,1.0,0.11578513676636337,40,0.8,1.3440308667089879e-11,0.0013863364820021055,4.5384935596247236e-05,1.5390666219567455e-08
h002_k20_rank3_full,1.0,0.11578513676636337,41,0.8200000000000001,1.2304604633646721e-11,0.0015853482081744051,4.860920050798314e-05,1.764172715129876e-08
h002_k20_rank3_full,1.0,0.11578513676636337,42,0.84,1.6585087360864708e-12,0.0014151930314069605,6.457049129644388e-05,2.161696861477839e-08
h002_k20_rank3_full,1.0,0.11578513676636337,43,0.86,2.8644972235484845e-11,0.0006728300360459465,7.183504181816782e-05,2.7435352887660903e-08
h002_k20_rank3_full,1.0,0.11578513676636337,44,0.88,2.018766715114181e-12,0.001276761183615197,7.18335541889499e-05,3.2716564548607405e-08
h002_k20_rank3_full,1.0,0.11578513676636337,45,0.9,5.443963789950037e-12,0.0017025393964647585,7.184400817996877e-05,3.4666126775603e-08
h002_k20_rank3_full,1.0,0.11578513676636337,46,0.92,2.1800642926831104e-11,0.0003900239682849243,7.183983364475498e-05,3.487962954624576e-08
h002_k20_rank3_full,1.0,0.11578513676636337,47,0.9400000000000001,1.744473332633613e-11,0.0020234128976075517,7.185066492054221e-05,3.809369693640787e-08
h002_k20_rank3_full,1.0,0.11578513676636337,48,0.96,1.0105338731065347e-12,0.0022521258877228555,7.181836075298942e-05,3.943913081936257e-08
h002_k20_rank3_full,1.0,0.11578513676636337,49,0.98,1.2154726705620047e-11,0.0008300753028005808,7.27412505530616e-05,4.199619715863356e-08
h002_k20_rank3_full,1.0,0.11578513676636337,50,1.0,1.1502147578566603e-11,0.0015334385322355538,9.553490066781761e-05,5.2702997242688374e-08
h002_k20_rank3_full,1.0,0.11578513676636337,51,1.02,3.690184547576201e-11,0.0005895235593406402,0.000104799231916184,6.197336154323675e-08
