label,beta,cell,time,q,abs_q,hp_edge,hp_ahead_max,hp_ahead_energy
h001_k5_removed,0.0,42,0.42,-0.0002031197579190476,0.0002031197579190476,0.0015789932650640236,5.7621406016756304e-05,4.079524307462482e-09
h001_k5_removed,0.0,43,0.43,0.00021778743307954547,0.00021778743307954547,0.0002515608059730173,1.130242888123773e-05,1.5726976751215634e-10
h001_k5_removed,0.0,44,0.44,-0.00022669807405651039,0.00022669807405651039,0.0008402659321473404,6.138026547763192e-06,4.6153629136852584e-11
h001_k5_removed,0.0,45,0.45,0.00024204343975505187,0.00024204343975505187,0.0013780169267834624,4.557957781578534e-05,2.5518800753411306e-09
h001_k5_removed,0.0,46,0.46,-0.0002527223484843618,0.0002527223484843618,0.0010556186733261745,3.191110596487855e-05,1.251317977983345e-09
h001_k5_removed,0.0,47,0.47000000000000003,0.0002731247860657366,0.0002731247860657366,0.0010088894529674778,3.801293852176381e-05,1.7755788948442505e-09
h001_k5_removed,0.0,48,0.48,-0.0002862601923092131,0.0002862601923092131,0.00045970504765366056,1.6250696097933972e-05,3.2468884375063045e-10
h001_k5_removed,0.0,49,0.49,0.00030865714492941097,0.00030865714492941097,0.000980268206776538,2.7512536451905216e-05,9.298608903263075e-10
h001_k5_removed,0.0,50,0.5,-0.0003206113601045956,0.0003206113601045956,0.0008382834413268851,3.529595072871335e-05,1.5311866812178287e-09
h001_k5_removed,0.0,51,0.51,0.0003405924654883794,0.0003405924654883794,0.0004326919688735567,4.809901442514278e-06,2.834240500957998e-11
h001_k5_removed,0.0,52,0.52,-0.0003539584964632745,0.0003539584964632745,0.001489288054863057,4.5091976566409186e-05,2.4972446533054147e-09
h001_k5_removed,0.0,53,0.53,0.00037742493986760536,0.00037742493986760536,0.0008318663742885415,2.6857745237907748e-05,8.863506491854544e-10
h001_k5_removed,0.0,54,0.54,-0.000394884437694629,0.000394884437694629,0.0007170074146190286,2.0839535964916052e-05,5.339847788732828e-10
h001_k5_removed,0.0,55,0.55,0.000427270792552742,0.000427270792552742,0.001570014225263457,4.582122727259691e-05,2.5779912504809196e-09
h001_k5_removed,0.0,56,0.56,-0.0004468840383773853,0.0004468840383773853,0.0011313438410689288,3.501881002063768e-05,1.5065865134911623e-09
h001_k5_removed,0.0,57,0.5700000000000001,0.0004814677088603403,0.0004814677088603403,0.001174464503191351,4.466338009405589e-05,2.451523232015371e-09
h001_k5_removed,0.0,58,0.58,-0.000506437848035381,0.000506437848035381,0.0006606667007108909,1.549024237936657e-05,2.943036056054827e-10
h001_k5_removed,0.0,59,0.59,0.0005384775391532757,0.0005384775391532757,0.0009935742454984851,2.591320531615407e-05,8.246460939167607e-10
h001_k5_removed,0.0,60,0.6,-0.0005629738860099997,0.0005629738860099997,0.0016797155783419956,5.390781553779657e-05,3.5701518475619467e-09
h001_k5_removed,0.0,61,0.61,0.0006010455088985858,0.0006010455088985858,0.001248260166906209,4.5554066277206425e-05,2.5499842549151966e-09
h001_k5_removed,0.0,62,0.62,-0.0006326422909939067,0.0006326422909939067,0.000686425126397479,1.887023471126937e-05,4.3776914446040635e-10
h001_k5_removed,0.0,63,0.63,0.0006797212576690637,0.0006797212576690637,0.0020837199599760543,6.682166086126128e-05,5.4855125590534285e-09
h001_k5_removed,0.0,64,0.64,-0.0007150876081401836,0.0007150876081401836,0.00025557580059758824,1.4640794783282008e-05,2.639693977212792e-10
h001_k5_removed,0.0,65,0.65,0.0007600424872597738,0.0007600424872597738,0.001260401352393977,3.959416029684785e-05,1.9260241133377294e-09
h001_k5_removed,0.0,66,0.66,-0.0007985490140374671,0.0007985490140374671,0.001139421513713823,3.457567491233256e-05,1.4689693814401534e-09
h001_k5_removed,0.0,67,0.67,0.0008544344901873271,0.0008544344901873271,0.002577743310443058,8.257044736242272e-05,8.376282576666855e-09
h001_k5_removed,0.0,68,0.68,-0.0008971521449575619,0.0008971521449575619,0.0006521588217199537,3.0390758924740233e-05,1.13631043230551e-09
h001_k5_removed,0.0,69,0.6900000000000001,0.0009519852737973926,0.0009519852737973926,0.0005238409758189928,1.8367314091177755e-05,4.148399396814921e-10
h001_k5_removed,0.0,70,0.7000000000000001,-0.0010016962559834964,0.0010016962559834964,0.001454641509469928,4.1998882346772625e-05,2.165950728064705e-09
h001_k5_removed,0.0,71,0.71,0.0010628995111701292,0.0010628995111701292,0.00044910422721951553,1.7683727503760836e-05,3.844826921061247e-10
h001_k5_removed,0.0,72,0.72,-0.0011215783218880824,0.0011215783218880824,0.00041607988136812673,7.811883053723095e-07,7.62539807200491e-13
h001_k5_removed,0.0,73,0.73,0.0011902870854730626,0.0011902870854730626,0.0012437970934795414,3.286637798490848e-05,1.3264774488426235e-09
h001_k5_removed,0.0,74,0.74,-0.0012440101155325846,0.0012440101155325846,0.002733278787213075,8.762322476830148e-05,9.43269541891833e-09
h001_k5_removed,0.0,75,0.75,0.0013214009124324607,0.0013214009124324607,0.0008892618852327438,3.463718689307458e-05,1.4747311754405098e-09
h001_k5_removed,0.0,76,0.76,-0.0013821348843613985,0.0013821348843613985,0.00282071546285111,8.472275177572322e-05,8.817812426269655e-09
h001_k5_removed,0.0,77,0.77,0.0014725109280772854,0.0014725109280772854,0.0016272023641290525,5.768132800383988e-05,4.088506934208703e-09
h001_k5_removed,0.0,78,0.78,-0.0015439395324438434,0.0015439395324438434,0.0021606764940529932,7.174207258280582e-05,6.324783985920846e-09
h001_k5_removed,0.0,79,0.79,0.001637635116244985,0.001637635116244985,0.0008919874880820283,3.2846643342074814e-05,1.3262041087442651e-09
h001_k5_removed,0.0,80,0.8,-0.0017098634987161875,0.0017098634987161875,0.00316836829682735,9.495028051923827e-05,1.1075251103700454e-08
h001_k5_removed,0.0,81,0.81,0.0018250156527800697,0.0018250156527800697,0.0026830651400405058,8.868306687873468e-05,9.663673464019829e-09
h001_k5_removed,0.0,82,0.8200000000000001,-0.0019000398654796277,0.0019000398654796277,0.0034517291380136202,0.00011645567079200001,1.666930540136077e-08
h001_k5_removed,0.0,83,0.8300000000000001,0.0020208660837679844,0.0020208660837679844,0.0013174195110738584,5.325710864140817e-05,3.4867500999542906e-09
h001_k5_removed,0.0,84,0.84,-0.0021328116865349557,0.0021328116865349557,0.00045650354873597574,2.2364988847118566e-05,6.153641358249364e-10
h001_k5_removed,0.0,85,0.85,0.0022568769622126478,0.0022568769622126478,0.0005060096484461889,1.7383718977214895e-05,3.714273463349665e-10
h001_k5_removed,0.0,86,0.86,-0.002384733577876998,0.002384733577876998,0.0004324327225381863,1.9934403660043332e-07,4.709331893802784e-14
h001_k5_removed,0.0,87,0.87,0.0025332793975343082,0.0025332793975343082,0.003401048331479176,9.69050229111475e-05,1.1534646160595175e-08
h001_k5_removed,0.0,88,0.88,-0.002659694251957621,0.002659694251957621,0.0022958817027850607,8.484635147393289e-05,8.850496862276408e-09
h001_k5_removed,0.0,89,0.89,0.002825901983975148,0.002825901983975148,0.0037614586406069825,0.00011771211979452966,1.702637905206793e-08
h001_k5_removed,0.0,90,0.9,-0.002959165500856964,0.002959165500856964,0.003211598424045818,0.00011250723183299463,1.5562471429787027e-08
h001_k5_removed,0.0,91,0.91,0.0031602537793813078,0.0031602537793813078,0.004621745622404342,0.00014887647438887583,2.7239339780608235e-08
h001_k5_removed,0.0,92,0.92,-0.0033105835533058384,0.0033105835533058384,0.0026229018168322615,0.00010280153842979227,1.2999428135707738e-08
h001_k5_removed,0.0,93,0.93,0.003522489375578767,0.003522489375578767,0.003882708804034191,0.0001241806094846881,1.8951786304040198e-08
h001_k5_removed,0.0,94,0.9400000000000001,-0.0036851058763642396,0.0036851058763642396,0.003779102978948082,0.00012883089794329695,2.0405912431247316e-08
h001_k5_removed,0.0,95,0.9500000000000001,0.003941731165561183,0.003941731165561183,0.0058311978686605955,0.00018714047034315939,4.304550493009393e-08
h001_k5_removed,0.0,96,0.96,-0.004074094282394509,0.004074094282394509,0.005844026180551493,0.00020640779134023884,5.2406072939605426e-08
h001_k5_removed,0.0,97,0.97,0.004346965119288247,0.004346965119288247,0.004397515724515596,0.00015932201805479975,3.121476717828833e-08
h001_k5_removed,0.0,98,0.98,-0.004550504268808103,0.004550504268808103,0.004492199356360553,0.0001592845494214328,3.1203855962601775e-08
h001_k5_removed,0.0,99,0.99,0.004829769527572732,0.004829769527572732,0.001650762376697799,7.05041429342728e-05,6.113084892206871e-09
h001_k5_removed,0.0,100,1.0,-0.0050859031925540145,0.0050859031925540145,0.003968095952529625,0.00011712489549607276,1.685572742136818e-08
h001_k5_removed,0.0,101,1.01,0.005402976298950224,0.005402976298950224,0.004365667602193641,0.00014420744060004878,2.5557175143910598e-08
h001_k5_removed,0.0,102,1.02,-0.005641327523502359,0.005641327523502359,0.006153447787774842,0.0002014179208440552,4.988060919225856e-08
h001_k5_removed,0.0,103,1.03,0.006004532302164721,0.006004532302164721,0.005610699531122234,0.00019367178921752182,4.6119719780944305e-08
